Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka
"Vyvaren / catering kuchyna","Grand Gastro s.r.o.","50601237","29. augusta 9","Galanta","Galanta","trzby 4,41 mil EUR (2024), 50-99 zam","","","grandgastro.sk","T7","SILNY CIEL; dodavatel zavodneho a skolskeho stravovania, 30+ rokov; pozn. mala strata + nedoplatky 2024"
"Vyvaren / catering kuchyna","Gastro DS s.r.o.","50808478","Alzbetinske namestie 1203","Dunajska Streda","Dunajska Streda","trzby 2,28 mil EUR (2025), 50-99 zam","+421 31 286 50 48","gastrods@dunstreda.sk","gastrods.sk","T6","SILNY CIEL; mestska firma, skolske jedalne vsetkych ZS/MS/gymnazii DS"
"Vyvaren / catering kuchyna","Gastro-Tief s.r.o.","47345195","Tamaskovicova 13","Trnava","Trnava","trzby 0,25 mil EUR (2025), 10-19 zam","0919 300 140","tief@tief.sk","tief.sk","T1","rozvoz hotovych jedal Trnava; mensia kapacita"
"Vyvaren / catering kuchyna","IN-food-catering s.r.o.","53118839","Abraham 452","Abraham","Galanta","trzby 0,46 mil EUR (2025), 5-9 zam","","","","T7","restauracne cinnosti + catering"
"Vyvaren / catering kuchyna","Robert Csoka - RODETT","doplnit ORSR","doplnit","Luc na Ostrove","Dunajska Streda","SZCO; vyroba a rozvoz teplych jedal od 1997","","","rodett.sk","T6","rozvoz DS/Velky Meder/Samorin + catering; ICO SZCO doplnit"
"Vyvaren / catering kuchyna","Grand Gastro Catering s.r.o.","50770667","doplnit","Galanta","Galanta","prepojena firma ku Grand Gastro","","","grandgastro.sk","T7","sesterska firma zavodne stravovanie; trzby/adresa over FinStat"
"Tackaren / zavodna jedalen","PCA Slovakia s.r.o. (Stellantis Trnava)","36256013","Automobilova 1","Trnava","Trnava","zavodna jedalen 4000-4999 zam, trzby 2,03 mld EUR (2024)","","","stellantis-slovakia.sk","T1","SILNY CIEL; najvacsi zamestnavatel okresu (automobilka); operator jedalne neovereny"
"Tackaren / zavodna jedalen","Fakultna nemocnica Trnava","00610381","A. Zarnova 11","Trnava","Trnava","vlastna kuchyna, 641 luzok, 1000-1999 zam","033/5938111","fntt@fntt.sk","fntt.sk","T1","SILNY CIEL; nemocnicna kuchyna pacienti + personal; verejny obstaravatel"
"Tackaren / zavodna jedalen","Saneca Pharmaceuticals a.s.","46833323","Nitrianska 100","Hlohovec","Hlohovec","500-999 zam (~800), trzby 108,8 mil EUR (2025)","","info@saneca.com","saneca.com","T2","SILNY CIEL; najvacsi zamestnavatel okresu Hlohovec (byv. Slovakofarma/Zentiva areal)"
"Tackaren / zavodna jedalen","ZF SACHS Slovakia a.s.","doplnit ORSR","Strojarenska 2","Trnava","Trnava","~3100 zam, zavodna jedalen","","","zf.com","T1","SILNY CIEL; automotive priem. park Trnava; ICO doplnit ORSR"
"Tackaren / zavodna jedalen","Univerzita sv. Cyrila a Metoda (UCM)","36078913","Namestie J. Herdu 2","Trnava","Trnava","studentska jedalen; catering prevadzkuje TOP-RELAX","033/5565111","","ucm.sk","T1","objednavatel; dodavatela jedla riesi TOP-RELAX"
"Tackaren / zavodna jedalen","Trnavska univerzita (TRUNI)","31825249","Hornopotocna 23","Trnava","Trnava","studentska jedalen, koncesia na prevadzku","033/5939111","","truni.sk","T1","stravovanie cez externeho prevadzkovatela; ICO over ORSR"
"Tackaren / zavodna jedalen","SAMSUNG Electronics Slovakia s.r.o.","36249564","Hviezdoslavova 807","Galanta","Galanta","trzby 1,77 mld EUR (2024); velka zavodna jedalen, tisice cez agentury","031 7882111","sesk@samsung.com","samsung.com/sk","T7","SILNY CIEL; najvacsia fabrika regionu; over operatora jedalne"
"Tackaren / zavodna jedalen","Nemocnica Sv. Lukasa Galanta a.s.","44452519","Hodska 38","Galanta","Galanta","447 lozok, ~649 zam","","","pentahospitals.sk","T7","SILNY CIEL; nemocnicna kuchyna; siet Svet zdravia/Penta"
"Tackaren / zavodna jedalen","NsP Dunajska Streda a.s.","44455356","Velkoblahovska 23","Dunajska Streda","Dunajska Streda","~244 lozok; Svet zdravia/Penta","","","pentahospitals.sk","T6","SILNY CIEL; nemocnicna kuchyna; over interny vs cateringovy model"
"Tackaren / zavodna jedalen","Schaeffler Skalica spol. s r.o.","30998140","Dr. G. Schaefflera 1","Skalica","Skalica","trzby 455,1 mil EUR (2024), 3000-3999 zam","034 696 1111","","schaeffler.sk","T5","SILNY CIEL; fabrika, velka zavodna jedalen, tisice obedov/den (byv. INA Skalica)"
"Tackaren / zavodna jedalen","Fakultna nemocnica AGEL Skalica a.s.","44444761","Koreszkova 7","Skalica","Skalica","spadova oblast 120000+; lozkova nemocnica","034 6212 111","","nemocnicaskalica.agel.sk","T5","SILNY CIEL; nemocnicna prevadzka; skupina AGEL"
"Tackaren / zavodna jedalen","Nemocnica Alexandra Wintera n.o.","36084221","Winterova 66","Piestany","Piestany","lozkova nemocnica Piestany, pacienti + personal","033 7955 111","","nawpiestany.sk","T3","SILNY CIEL; nemocnicna kuchyna, stabilny denny objem"
"Tackaren / zavodna jedalen","Mestska poliklinika Senica a.s.","36273074","Sotinska 1","Senica","Senica","poliklinika; ambulantne + lozkove sluzby","034 698 7111","","poliklinikase.sk","T4","Senica nema lozkovu nemocnicu, spada pod FN AGEL Skalica; stredny objem"
"Tackaren / zavodna jedalen","OMS a.s.","34132333","Dojc 419","Dojc","Senica","~2,9 mil EUR; historicky ~950 zam, vyrobca svietidiel","034 694 0411","","oms.eu","T4","vyrobny zavod s jedalnou; firma v restrukturalizacii; over aktualny pocet zam"
"Tackaren / zavodna jedalen","Slovenske liecebne kupele Piestany a.s.","34144790","Winterova 29","Piestany","Piestany","trzby 51,4 mil EUR; hotely Thermia Palace/Esplanade/Splendid/Grand, tisice stravnikov/den","033 775 7733","spa@ensanahotels.com","ensanahotels.com/sk","T3","SILNY CIEL; najvacsi prevadzkovatel stravovania v kraji, vlastne kuchyne + liecebna vyziva"
"Velka restauracia / banketova sala","Sladovna SESSLER a.s.","36253774","Pri Kalvarii 17","Trnava","Trnava","svadobna sala 120 (200 m2), restauracia + minipivovar + penzion + kongres","","","sessler.sk","T1","SILNY CIEL; komplex s vlastnou varnou kapacitou, eventovy priestor"
"Velka restauracia / banketova sala","Jaster s.r.o.","36708364","Stara hora 1","Hlohovec","Hlohovec","restauracia 230 miest, sala 80-150, 2 vinarne 2x50","033/7424862","tutura.pavol@gmail.com","jaster-hlohovec.sk","T2","SILNY CIEL; najvacsi banketovy priestor okresu Hlohovec; majitel P. Tutura 0903473379"
"Velka restauracia / banketova sala","Victoria Trnava","doplnit ORSR","doplnit","Trnava","Trnava","sala do 75 + terasy 40, eventova restauracia svadby/firmy","","","victoriatrnava.sk","T1","mensia kapacita; ICO doplnit"
"Velka restauracia / banketova sala","Hotel Magnolia Piestany","doplnit ORSR","Nalepkova 1","Piestany","Piestany","121 izieb, restauracia 140 + kongresova sala + 2 salonky","033 762 6251","recepcia@hotelmagnolia.sk","hotelmagnolia.sk","T3","SILNY CIEL; velka kongresova/eventova prevadzka; prevadzkovatel/ICO doplnit ORSR"
"Velka restauracia / banketova sala","Hotel Park Piestany (Kupele)","doplnit ORSR","Nabrezie I. Krasku 2","Piestany","Piestany","restauracia 150, kongresove saly, svadby/oslavy","033 775 5200","","hotelpark.sk","T3","SILNY CIEL; banketove/svadobne + kongresy"
"Velka restauracia / banketova sala","Hotel sv. Ludmila Skalica","doplnit ORSR","Tehelna 40","Skalica","Skalica","restauracia 70; 8 konf. sal ~600 m2, najvacsia do 165","0910 856 102","info@hotelsvataludmila.sk","hotelsvataludmila.sk","T5","SILNY CIEL; svadby/firemne do 165, najvacsia eventova kapacita v Skalici"
"Velka restauracia / banketova sala","Restauracia Jozef II.","doplnit ORSR","Bratislavska 20","Holic","Skalica","spolocenska sala 140 miest, parket/ozvucenie/projektor","034 2028912","","jozefdruhy.sk","T5","SILNY CIEL; banketova/svadobna sala 140, Holic"
"Velka restauracia / banketova sala","Slovensky Dvor Piestany","doplnit ORSR","doplnit","Piestany","Piestany","kapacita 150+ osob; firemne party/oslavy/svadby","","","slovenskydvor.sk","T3","banketove akcie 150+; ICO/adresa over ORSR"
"Velka restauracia / banketova sala","Restauracia Savarin Senica","doplnit ORSR","doplnit","Senica","Senica","svadobna sala + klimatizovana sala; svadby/firemne","","","savarinsenica.com","T4","svadobna sala centrum Senice; kapacita/ICO over"
"Velka restauracia / banketova sala","X-BIONIC SPHERE a.s.","46640134","Dubova 33","Samorin","Dunajska Streda","trzby ~18,1 mil EUR; hotel 282 izieb, 5+ restauracii, MICE/eventy","0904 913037","sales@x-bionicsphere.com","x-bionicsphere.com","T6","SILNY CIEL; obrovsky sportovy rezort, catering pre turnaje/konferencie"
"Velka restauracia / banketova sala","THERMALPARK DS a.s.","31450920","Gabcikovska cesta 38","Dunajska Streda","Dunajska Streda","trzby ~9,4 mil EUR (2024); termalny areal + hotel + restauracie/bufety","","","thermalpark.sk","T6","SILNY CIEL; sezonny velkoobjem; doplnit kontakt"
"Velka restauracia / banketova sala","TERMAL s.r.o. (Thermal Corvinus Velky Meder)","34099336","Promenadna 20","Velky Meder","Dunajska Streda","trzby ~8,5 mil EUR; termalne kupalisko + ubytovanie + gastro","","","thermalcorvinus.eu","T6","SILNY CIEL; velky termalny rezort (vlastnik mesto); viacero stravovacich bodov"
"Velka restauracia / banketova sala","Hotel Thermal Varga s.r.o.","44497237","Promenadna 1","Velky Meder","Dunajska Streda","restauracia 120-200 miest, sala + catering","","","hotelthermal.sk","T6","banketova sala + catering, svadby/konferencie"
"Velka restauracia / banketova sala","Penzion Restauracia MLYN (SLOVFRUCO s.r.o.)","36276910","J. Majku 211","Dolna Streda","Galanta","2 saly ~100+50, catering, svadby","0903 419103","penzionmlyn211@gmail.com","penzionmlyn.sk","T7","banketova sala + catering pri priem. zone Sered"
"Velka restauracia / banketova sala","Restauracia Perlovka (AR GASTRO)","doplnit ORSR","Vinarska 2","Sered","Galanta","kompletny servis + catering svadby/firemne/vyrocia","","argastro.sered@gmail.com","perlovka.sk","T7","banketova/eventova restauracia pri priem. parku Sered; ICO doplnit"
"Restauracna siet (3+ prevadzok)","MINIT SLOVAKIA spol. s r.o.","17053897","Muzejna 1","Dunajska Streda","Dunajska Streda","trzby 80,5 mil EUR (2025), 500-999 zam; ~350 pekarni MINIT Bakery","","","minitbakery.sk","T6","SILNY CIEL; sidlo firmy; ~350 pekarni MINIT Bakery (SR), 25+ v TT kraji"
"Restauracna siet (3+ prevadzok)","Reston s.r.o. (McDonald's fransiza)","35795425","Hlboka 4","Trnava","Trnava","trzby ~30 mil EUR, ~700 zam (TT+BA)","","","mcdonalds.sk","T1","SILNY CIEL; fransizant McDonald's; majitel Anton Novotny; 3 prevadzky v Trnave (Hlboka 4, Nova, Trstinska)"
"Restauracna siet (3+ prevadzok)","COOP Jednota Trnava s.d.","doplnit ORSR","Trojicne namestie 9","Trnava","Trnava","viac gastro prevadzok v OD Jednota","033/324 58 00","","odjednota.sk","T1","sidlo druzstva; viac gastro prevadzok v OD Jednota; ICO druzstva doplnit ORSR"
