Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Catering dodavatel,"PARADISE, s.r.o.",36260339,doplnit,Kalna nad Hronom,Levice,"ostatne ucelove stravovanie, 5-9 zam, prevadzkuje kantinu pri AE Mochovce",0907 795 223,,,,"prevadzkuje zavodnu kantinu Little Paradise pre elektraren Mochovce a dodavatelov - vstup do najvacsieho zamestnavatela v okoli, SILNY CIEL","Zsolt Koháry, Radoslav Erdélyi"
Tackaren / zavodna jedalen,Nemocnica AGEL Levice s.r.o.,50861450,SNP 19,Levice,Levice,"trzby 40,41 mil EUR (2024), vlastna nemocnicna kuchyna, stovky lozok + personal",036 6373 111,,nemocnicalevice.agel.sk,,"SILNY CIEL; vlastne ustavne stravovanie (pacienti+zamestnanci), denne stovky porcii, siet AGEL","Michal Pišoja, Ján Belanský, Waldemar Kmiecik"
Tackaren / zavodna jedalen,"ZF Slovakia, a.s. (zavod Levice-Gena)",36707341,Priemyselny park Gena 5654/63,Levice,Levice,"ZF Slovakia trzby 797 mil EUR (2023), 3000-3999 zam; zavod Levice ~1700 prac. miest, zavodne stravovanie",036 6357 111,,zf.com,,"SILNY CIEL; najvacsi priemyselny zamestnavatel v okrese, zavodna jedalen (sidlo a.s. Trnava, kantina v Leviciach)","Dietmar Weigt, Peter Doll, Ing. Peter Ábel, Ing. Miroslav Daniš"
Velka restauracia / banketova sala,"VIALE, s.r.o. (Hotel Lev Levice)",36567795,Csl. armady 2,Levice,Levice,"spolocenska sala do 350 miest, svadobna do 200; trzby ~695 tis EUR, 20-24 zam",036 3700 300,recepcia@hotellev.sk,hotellev.sk,,"SILNY CIEL; najvacsia banketova/svadobna sala v meste Levice (350 miest), restauracia+kaviaren","Jozef Horniak, Gregor Horniak, Iris Gajdošová"
Velka restauracia / banketova sala,AMALION s.r.o. (Koliba rezort Margita-Ilona),36556068,Mochovska 30,Levice,Levice,"trzby 723 503 EUR (2025), 10-19 zam; rezort so salami na svadby/firemne akcie + vinny dom",036 6316793,amalion@amalion.sk,kolibarezort.sk,,"eventovy/svadobny rezort 6 km od Levic, banketove priestory + tradicna kuchyna; objemove svadby a firemne akcie","Milan Martiško, Peter Martiško, Lívia Martišková"
Velka restauracia / banketova sala,"HOTELY SK, s.r.o. (Hotel Atom / Restaurant il Caffe)",36795399,Ul. sv. Michala 4,Levice,Levice,"restauracia 130 miest + 2 terasy, hotel 121 lozok; svadby/oslavy/firemne akcie",036 6312790,,restaurantilcaffe.sk,,banketova restauracia v centre Levic (130 miest); over aktualny stav hotela pred oslovenim,"Roman Penzeš, Ján Kubáň"
Tackaren / zavodna jedalen,Fakultna nemocnica s poliklinikou Nove Zamky,17336112,Slovenska 5587/11A,Nove Zamky,Nove Zamky,"trzby 85,33 mil EUR (2024), 1000-1999 zam, 795 lozok, vlastna kuchyna",035 691 2111,email@nspnz.sk,nspnz.sk,,"SILNY CIEL; velka nemocnica, vlastna stravovacia prevadzka pre stovky lozok + zamestnancov, denne velkoobjem",
Velka restauracia / banketova sala,"VADAS, s.r.o. (Vadas Thermal Resort)",34136215,Pri Vadasi 2,Sturovo,Nove Zamky,"trzby 6,40 mil EUR (2025), 50-99 zam, hotel Thermal 148 lozok + restauracie + bufety, sezonny velkoobjem",036 7560111,rezervacia@vadas.sk,vadasthermal.sk,,"SILNY CIEL; termalny rezort, sezonny napor tisicov navstevnikov, restauracie/bufety/hotel pod jednou firmou","Alena Podhorská, Milan Kilar, Andrea Vitkóová, Réka Bokor"
Velka restauracia / banketova sala,"Termalne kupalisko Podhajska, s.r.o.",34126040,Podhajska 493,Podhajska,Nove Zamky,"trzby 8,39 mil EUR (2025), 100-149 zam, sezonny velkoobjem, ubytovanie + stravovacie prevadzky",037 7428023,info@tkpodhajska.sk,tkpodhajska.sk,,"SILNY CIEL; velky sezonny navstevnicky objem, viacero stravovacich prevadzok v rezorte","Jozef Krajmer, Ján Kosiba, Juraj Melišek, Peter Ďuráč"
Tackaren / zavodna jedalen,"Smurfit Westrock Slovakia, a.s.",36531359,Tovarenska 1,Sturovo,Nove Zamky,"trzby 67,93 mil EUR (2025), 200-249 zam, velky priemyselny zavod so zavodnym stravovanim",036 7562491,,smurfitkappa.com,,"SILNY CIEL; najvacsi zamestnavatel v Sturove (papierne), denna zavodna jedalen pre stovky robotnikov v zmenovej prevadzke","Marek Polák, Jan Pražák, Zdeněk Suchitra, Erika Skutová, Lilla Csipaková"
Vyvaren / catering kuchyna,"GASTRO DOM NZ, s.r.o.",44881975,Komarnanska cesta 13,Nove Zamky,Nove Zamky,"800+ obedov denne (200 na mieste + rozvoz), 20-24 zam, vlastna sala 150 miest",0948 028 487,info@gastrodomnz.sk,gastrodomnz.sk,,"SILNY CIEL; dodavatel zavodneho/firemneho stravovania 800+ jedal denne, sala 150 miest na bankety/svadby","František Štefánik, Dominik Štefánik, Andrej Štefánik"
Velka restauracia / banketova sala,Restaurant Michelle Nove Zamky,doplnit ORSR,T. G. Masaryka 31,Nove Zamky,Nove Zamky,"kapacita 150 miest (sala 262 m2, celk. 600 m2), profi kuchyna + vlastny catering",0904 365 656,info@michellenovezamky.sk,michellenovezamky.sk,,"banketova/svadobna sala v centre, vlastna profi kuchyna a catering - odber surovin vo velkom; ICO doplnit ORSR",
Tackaren / zavodna jedalen,SAM INDUSTRIES a. s. (lodenice Komarno),36246093,Rolnickej skoly 1519,Komarno,Komarno,"trzby 68,1 mil EUR (2025), 250-499 zam",02 209 69 000,info_KN@samindustries.sk,samindustries.sk,,"SILNY CIEL; jedina SK lodenica, vyrobny zavod s vlastnym stravovanim; sidlo firmy v BA, prevadzka KN","Tomáš Palacka, Nora Félová, Jozef Magyarics, Ladislav Molnár, Marek Hajdu"
Tackaren / zavodna jedalen,Nemocnica AGEL Komarno s.r.o.,50828371,Medercska 39,Komarno,Komarno,"trzby 44,54 mil EUR (2024), nemocnica 11 luzkovych oddeleni",,,nemocnicakomarno.agel.sk,,"SILNY CIEL; nemocnica s vlastnou kuchynou, celodenna strava pre pacientov+personal; spadova oblast 110 000 obyv.","Michal Pišoja, Miroslav Jaška, Jakub Rybár, Tomáš Lučkai"
Velka restauracia / banketova sala,Termalne kupalisko Komarno (COMORRA SERVIS),44191758,Vnutorna okruzna 19,Komarno,Komarno,"trzby 2,30 mil EUR (2024), areal 2,5 ha, 7 bazenov + bufety",035 7713014,info@thermalkn.sk,thermalkn.sk,,"mestska prispevkova org., letna sezona vysoke objemy strediska + bufety/gastro",
Velka restauracia / banketova sala,Hotel Bow Garden (BOW GARDEN s.r.o.),46719253,Sturova 1017,Komarno,Komarno,"hotel + restauracia s terasou, konferencne priestory, bowling/squash/fitness",,,hotelbowgarden.sk,,"banketove/event priestory, restauracia europska kuchyna; B2B suroviny",Jakub Litva
Velka restauracia / banketova sala,Hotel Peklo Komarno,doplnit ORSR,Platanova alej 1,Komarno,Komarno,"70 luzok, restauracia + wellness, konferencna sala do 70 osob (svadby/seminare)",035 7740620,recepcia@hotelpeklo.sk,hotelpeklo.sk,,povodny prevadzkovatel DEVILS s.r.o. zruseny 8/2024 - over aktualny subjekt v ORSR; hotel aktivny,
Catering dodavatel,TOP-DAY catering & vyzdoba (Roman Stevanka),doplnit ORSR,Nam. M. R. Stefanika 2/6,Topolcany,Topolcany,"event/svadby/firemny catering, kapacita podla podujatia",0904 594582,,top-day.sk,,"zivnostnik, neoverene ICO na FinStat; svadby+firemne+stuzkove, B2B partner pre suroviny",
Catering dodavatel,FEAST CATERING,doplnit ORSR,doplnit,Topolcany,Topolcany,"8+ rokov, oblozene misy + catering na podujatia",,,feastcatering.sk,,"mensi catering, B2B suroviny; ICO neoverene na FinStat",
Tackaren / zavodna jedalen,HYZA a.s.,31562540,Odbojarov 2279/37,Topolcany,Topolcany,"trzby 131,3 mil EUR (2024), 500-999 zam",038 53 722 36,sekretariat@hyza.sk,hyza.sk,,"SILNY CIEL; najvacsi spracovatel hydiny, 900+ ludi, vlastna zavodna jedalen; skupina AGROFERT","Ing. Petr Cingr, Ing. Kvetoslava Trenčianska, Ondrej Fačkovec, Ing. Jan Stoklasa, Ing. Marian Dávid"
Tackaren / zavodna jedalen,"DECODOM, spol. s r.o.",36305073,Pilska 7,Topolcany,Topolcany,"trzby 33,84 mil EUR (2024), 250-499 zam",,,decodom.sk,,"SILNY CIEL; najvacsi SK vyrobca nabytku, vyroba v TO, zavodne stravovanie; firma v restrukturalizacii (over solventnost)","Roman Gejdoš, Ing. Vladimír Šrámek, Ing. Juraj Kubíček, Marián Závodný"
Tackaren / zavodna jedalen,"Nemocnica Topolcany, a. s. (Penta/Svet zdravia)",46458581,Pavlovova 17,Topolcany,Topolcany,"trzby 29,69 mil EUR, akutna nemocnica",,,pentahospitals.sk,,"SILNY CIEL; nemocnicna kuchyna, celodenne stravovanie pacientov+zamestnancov; siet Penta Hospitals","Radoslav Čuha, Tomáš Valaška, Ivan Mokrý, Ľubomír Tóda"
Velka restauracia / banketova sala,"Mestske sluzby Topolcany, s.r.o.",44818378,Nam. M. R. Stefanika 1/1,Topolcany,Topolcany,"mestska s.r.o., kryta plavaren + letne kupalisko, kapacita 160+",,,sluzbyto.sk,,"sezonne gastro/bufet na kupaliskach, mestsky prevadzkovatel","Martin Bucko, Juraj Želiska, Július Krajčík, Veronika Streicherová"
Velka restauracia / banketova sala,Hotel Novy Kastiel Topolcany,doplnit ORSR,doplnit,Topolcany,Topolcany,"3* business hotel pri centre, restauracia, vhodny na firemne podujatia",,,novykastiel.sk,,event/firemne priestory; ICO neoverene na FinStat (over presny prevadzkovy subjekt),
Statne firmy a urady,Nitriansky samospravny kraj (Urad NSK),37861298,Razusova 2A,Nitra,Nitra,200-249 zam na urade; zriadovatel desiatok strednych skol a socialnych zariadeni s vlastnymi kuchynami,037 6925111,predseda@unsk.sk,unsk.sk,NR1,"SILNY CIEL; krajsky urad + zriadovatel ~40 strednych skol a soc. zariadeni v kraji (skolske/zariadenske kuchyne, verejne obstaravanie stravy a potravin)",
Statne firmy a urady,Mesto Nitra (Mestsky urad),00308307,Stefanikova trieda 60,Nitra,Nitra,"1000-1999 zam (mesto + organizacie), najvacsia samosprava kraja",037 6502111,podatelna@msunitra.sk,nitra.sk,NR1,"SILNY CIEL; najvacsia samosprava kraja, zriadovatel MS/ZS so skolskymi jedalnami (odber potravin/stravy)",
Statne firmy a urady,Krajske riaditelstvo Policajneho zboru v Nitre,00151866,Kalvarska 2,Nitra,Nitra,"krajske riaditelstvo PZ, stovky prislusnikov v kraji",0961 302111,,minv.sk,NR1,krajske riaditelstvo PZ; organizacna zlozka MV SR (ICO 00151866); over ci ma vlastnu jedalen alebo obstarava stravu externe,
Statne firmy a urady,Ustav na vykon vazby a Ustav na vykon trestu odnatia slobody Nitra,00738280,Cintorinska 1472/3,Nitra,Nitra,"250-499 zam, kapacita 401 vaznenych; vlastna vazenska kuchyna",037 6526111,,zvjs.sk,NR1,"SILNY CIEL; vazenska kuchyna pre stovky vaznenych + personal, celodenne stravovanie, stabilny velkoodber surovin (ZVJS, vlastne ICO)",
Statne firmy a urady,Ustav na vykon trestu odnatia slobody Nitra-Chrenova,00738417,Vasinova 124/59,Nitra,Nitra,"zenska vaznica, stovky odsudenych + personal; vlastna kuchyna",037 6536537,,zvjs.sk,NR1,"SILNY CIEL; samostatny zensky ustav s vlastnou vazenskou kuchynou, celodenne stravovanie, stabilny odber potravin (ZVJS, vlastne ICO)",
Statne firmy a urady,"Slovenske elektrarne, a.s. - Atomove elektrarne Mochovce (EMO)",35829052,Mochovce,Mochovce,Levice,"velky energeticky zavod, stovky-tisic zam + dodavatelia; zavodna jedalen",036 6361111,emo@seas.sk,seas.sk,NR3,"SILNY CIEL; jadrova elektraren so zavodnou jedalnou, denne stovky obedov pre personal + dodavatelov, dlhodoby velkoodber","Milan Molnár, Andrej Rubint, Rastislav Fleško, Zoran Kupkovič"
Statne firmy a urady,Mesto Nove Zamky (Mestsky urad),00309150,Hlavne namestie 10,Nove Zamky,Nove Zamky,"250-499 zam (mesto + organizacie), druha najvacsia samosprava kraja",035 6400225,info@novezamky.sk,novezamky.sk,NR2,SILNY CIEL; zriadovatel MS/ZS so skolskymi jedalnami v meste Nove Zamky (odber potravin/stravy),
Statne firmy a urady,Mesto Komarno (Mestsky urad),00306525,Namestie generala Klapku 1,Komarno,Komarno,"250-499 zam, vyznamna samosprava juhu kraja",035 2851212,prednosta@komarno.sk,komarno.sk,NR2,SILNY CIEL; zriadovatel MS/ZS so skolskymi jedalnami v meste Komarno (odber potravin/stravy),
Statne firmy a urady,Mesto Levice (Mestsky urad),00307203,Namestie hrdinov 1,Levice,Levice,"250-499 zam, najvacsia samosprava juhozapadu kraja",036 6350263,msu@levice.sk,levice.sk,NR3,SILNY CIEL; zriadovatel MS/ZS so skolskymi jedalnami v meste Levice (odber potravin/stravy),
Statne firmy a urady,Krajske riaditelstvo Hasicskeho a zachranneho zboru v Nitre,37862961,Dolnocermanska 64,Nitra,Nitra,"statny zbor, stovky zamestnancov; pod MV SR",037/641 6200,,minv.sk,NR1,SILNY CIEL; HaZZ velky zamestnavatel so zavodnou kuchynou; hist. ICO (od 2013 pod MV SR),
Tackaren / zavodna jedalen,Fakultna nemocnica Nitra,17336007,Spitalska 588/6,Nitra,Nitra,"obrat 110 mil EUR (2025, trzby), 1000-1999 zam",,,fnnitra.sk,NR1,"SILNY CIEL; statna prispevkova org MZ SR, 600+ lozok; velka nemocnicna kuchyna",
Tackaren / zavodna jedalen,Fakultna nemocnica s poliklinikou Nove Zamky,17336112,Slovenska 5587/11A,Nove Zamky,Nove Zamky,"obrat 89 mil EUR (2025, trzby), 1000-1999 zam",,,nspnz.sk,NR4,SILNY CIEL; statna prispevkova org MZ SR; 1000+ zam,
Tackaren / zavodna jedalen,Nemocnica AGEL Komarno s.r.o.,50828371,Medercska 39,Komarno,Komarno,"obrat 49 mil EUR (2025, trzby), 500-999 zam",,,nemocnicakomarno.agel.sk,NR6,SILNY CIEL; AGEL skupina; lozkova nemocnica,"Michal Pišoja, Miroslav Jaška, Jakub Rybár, Tomáš Lučkai"
Tackaren / zavodna jedalen,Nemocnica AGEL Levice s.r.o.,50861450,SNP 19,Levice,Levice,"obrat 48 mil EUR (2025, trzby), 500-999 zam",,,nemocnicalevice.agel.sk,NR5,SILNY CIEL; AGEL skupina; lozkova nemocnica,"Michal Pišoja, Ján Belanský, Waldemar Kmiecik"
