Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Catering dodavatel,Medusa Restaurants a.s. (Medusa Catering),35849592,Svatoplukova 2A,Bratislava-Ruzinov,Bratislava II,"trzby 28,15 mil EUR (2024), 250-499 zam",+421 2 3300 2808,recepcia@medusagroup.sk,medusarestaurants.sk,Z2,najvacsia gastro skupina SK; event catering pre tisice; prevadzka Pradiareni 1900,"Ing. Peter Štecko, Bronislava Štecková, Tomáš Mrva"
Catering dodavatel,SKGastro,doplnit ORSR,doplnit,Bratislava,Bratislava I,nezverejnene,0908 898 677,skgastro@skgastro.sk,skgastro.sk,Z?,zavodne stravovanie; over ICO + sidlo,
Catering dodavatel,Catering Bratislava,doplnit ORSR,Galvaniho 12/B,Bratislava-Ruzinov,Bratislava II,nezverejnene,0910 166 999,catering@cateringbratislava.sk,cateringbratislava.sk,Z2,eventy + pozicovna inventara; over ICO,
Vyvaren / catering kuchyna,FOOD TIME s.r.o.,52079881,Lozorno 995 (prevadzka),Lozorno,Malacky,"~5,2 mil EUR (2023); 10000+ porcii/den",+421 918 611 572,fodor@food-time.sk,food-time.sk,Z6,"najvyssia kapacita 10000+ porcii/den; vyrobna kuchyna; reg. manazer Marián Fodor; objednavky objednavkylozorno@food-time.sk, +421 918 797 063; konatelia Michal Kintler, Tomáš Kotras; sidlo Trencianske Teplice",Marián Fodor
Vyvaren / catering kuchyna,GTH catering s.r.o. (ex-Sodexo),35728434,Vajnorska 100/B,Bratislava-Nove Mesto,Bratislava III,"7,1 mil EUR, 150-199 zam",421907161705,obchodsk@gthcatering.cz,gthcatering.sk,Z2,sidlo sa stahuje do Nitry od 1.6.2026,"Daria Choděrová, Tomáš Hubka"
Vyvaren / catering kuchyna,SHARKAM B&B Catering s.r.o.,46844341,"Krokusova 3 (kanc. Technopol, Kutlikova 17)",Bratislava-Petrzalka,Bratislava V,"3,4 mil EUR; jedalen 850 ludi/den",+421 915 763 073,bankovich@sharkam.eu,sharkam.eu,Z3,jedalen Technopol + protokolarny catering,"Andrej Bruna, Pavol Bankovich"
Vyvaren / catering kuchyna,RC Slovakia s.r.o. (SKIES Catering),35870362,Vajnorska 100/B,Bratislava-Nove Mesto,Bratislava III,"1,2 mil EUR; ISO/IFS/BRC",+421 911 713 000,javorkova@rcslovakia.sk,rcslovakia.sk,Z2,"eventy, kongresy",Marián Zubo
Vyvaren / catering kuchyna,Timeout Catering s.r.o.,55083561,Polna 4,Senec,Senec,event do 1000 ludi,+421 918 227 782,info@timeoutcatering.sk,timeoutcatering.sk,Z8,pokryva BA + Senec + Pezinok,"Tomáš Gajar, Pavol Hideghéty"
Vyvaren / catering kuchyna,PINO group s.r.o.,44013141,Kadnarova 99,Bratislava-Raca,Bratislava III,skolske + firemne jedalne,+421 904 884 427,objednavky@pinostravovanie.sk,pinostravovanie.sk,Z2,17+ rokov,"Tomáš Mészároš, Oliver Soboňa, Jozef Volárik"
Vyvaren / catering kuchyna,"Oldeji (J. Cerna Szalay, zivnost)",32212721,Rusovska cesta 3903/50,Bratislava-Petrzalka,Bratislava V,"vlastna kuchyna od 1994, 10-19 zam",0904 630 487,info@oldeji.sk,oldeji.sk,Z3,rozvoz v termonadobach + prevadzka jedalni,
Vyvaren / catering kuchyna,ALFA FOOD vzs s.r.o.,55167071,Zilinska 7028/1,Bratislava-Stare Mesto,Bratislava I,"0,62 mil EUR (2024), 25-49 zam",+421 903 995 595,info@alfafood.sk,alfafood.sk,Z1,zavodne stravovanie,"Filip Minárik, Tibor Čapák"
Vyvaren / catering kuchyna,ProZeta s.r.o. (Happy Day Catering),36739499,Padlych hrdinov 24,Bratislava-Podunajske Biskupice,Bratislava II,"svadby, eventy, firmy",0948 080 180,info@happy-day.sk,happydaycatering.sk,Z5,16+ rokov,Adrian Pastucha
Vyvaren / catering kuchyna,TOVAR a SLUZBY s.r.o. (Jedlo Bratislava),51725053,Popovova 8 (kuchyna Dr. V. Clementisa 5),Bratislava-Ruzinov,Bratislava II,rozvoz obedov,0905 600 000,oldbrickpubsk@gmail.com,jedlobratislava.sk,Z2,rozvoz po celej BA vratane noci,Boris Križanovič
Tackaren / zavodna jedalen,Eat & Meet - Mlynska dolina (UK),,"Stare Grunty, blok AD-U, Mlynska dolina",Bratislava-Karlova Ves,Bratislava IV,"450 miest, 4000+ jedal/den (areal Mlyny az 6000)",903635457,info@eatandmeet.sk,eatandmeet.sk,Z4,univerzitna; vlastna prevadzka UK,
Tackaren / zavodna jedalen,Venza - Mlyny UK,,Mlynska dolina,Bratislava-Karlova Ves,Bratislava IV,sucast arealu Mlyny (6000/den),,,mlyny.uniba.sk,Z4,univerzitna jedalen,
Tackaren / zavodna jedalen,Jedalen EUBA - Dolnozemska (City Gastro),,Dolnozemska cesta 1,Bratislava-Petrzalka,Bratislava V,500 miest / 1500 pri recepcii,+421 948 929 323,sekretariat@citygastro.sk,citygastro.sk,Z3,prevadzkuje City Gastro,
Tackaren / zavodna jedalen,Jedalen Mlada garda (STU),,Racianska 103,Bratislava-Nove Mesto,Bratislava III,136 miest + siet 5-7 jedalni STU,421917470507,public@stuba.sk,stuba.sk,Z2,UZ SDaJ STU,
Tackaren / zavodna jedalen,UNB - Nemocnica Ruzinov,,Ruzinovska 6,Bratislava-Ruzinov,Bratislava II,>100k hospitalizacii/rok,+421 2 48234 111,,unb.sk,Z2,vlastna OLVaS; vstup cez verejne obstaravanie,
Tackaren / zavodna jedalen,UNB - Nem. ak. L. Derera (Kramare),,Limbova 5,Bratislava-Nove Mesto,Bratislava III,velka nemocnica,,,unb.sk,Z2,"vlastna kuchyna, tacovy system",
Tackaren / zavodna jedalen,UNB - Nem. sv. Cyrila a Metoda (Petrzalka),,Antolska 11,Bratislava-Petrzalka,Bratislava V,velka nemocnica,,,unb.sk,Z3,vlastna kuchyna,
Tackaren / zavodna jedalen,Narodny ustav srdc. a cievnych chorob (NUSCH),,Pod Krasnou horkou 1,Bratislava-Kramare,Bratislava III,vlastna kuchyna,,,nusch.sk,Z2,,
Tackaren / zavodna jedalen,Narodny onkologicky ustav (NOU),,Klenova 1,Bratislava-Kramare,Bratislava III,"vlastna kuchyna, ~200+ lozok",,,nou.sk,Z2,,
Tackaren / zavodna jedalen,Nemocnica sv. Michala,,Satinskeho I. 1,Bratislava-Stare Mesto,Bratislava I,vlastna OLVaS,,,nsmas.sk,Z1,vojensko-policajna univ. nemocnica,
Tackaren / zavodna jedalen,Volkswagen Slovakia - zavodna jedalen,,Jana Jonasa 1,Bratislava-Devinska Nova Ves,Bratislava IV,NAJVACSI CIEL: ~11-13 tis. zamestnancov,,facility/HR,volkswagen.sk,Z4,operator stravovania NEOVERENY - priamy dopyt,
Tackaren / zavodna jedalen,Slovnaft - zavodna jedalen,,Vlcie hrdlo 1,Bratislava-Ruzinov,Bratislava II,velky priemyselny zavod,,facility,slovnaft.sk,Z5,operator neovereny,
Tackaren / zavodna jedalen,Mondelez SR Production - kantina,,Racianska 44,Bratislava-Raca,Bratislava III,~400 zamestnancov,,,,Z2,cokoladovna,
Tackaren / zavodna jedalen,La Cantina - Tatracentrum (Bencik),,Hodzovo nam. 3,Bratislava-Stare Mesto,Bratislava I,BC kantina,,,bencikculinary.sk,Z1,"siet kantin v BC (Central, Apollo, Petrzalka)",
Tackaren / zavodna jedalen,Food Season - Westend Square,,Dubravska cesta 2,Bratislava-Karlova Ves,Bratislava IV,firemna kantina,,,foodseason.sk,Z4,"bio suroviny, sous-vide",
Tackaren / zavodna jedalen,Canteen Priatelia - Westend Tower,,Dubravska cesta 2,Bratislava-Karlova Ves,Bratislava IV,firemna kantina,,,,Z4,,
Tackaren / zavodna jedalen,Fajne Jedlo - Tower 115,,Pribinova 25,Bratislava-Stare Mesto,Bratislava I,samoobsluzna kantina,,,,Z1,zona Eurovea/Twin City,
Velka restauracia / banketova sala,Zylinder Cafe & Restaurant,,Hviezdoslavovo nam. 19,Bratislava-Stare Mesto,Bratislava I,80 sed / 120 raut + terasa 50,+421 903 123 134,rezervacie@zylinder.sk,zylinder.sk,Z1,,
Velka restauracia / banketova sala,Restauracia Matysak (Vinny hotel),,Holubyho 85,Pezinok,Pezinok,"130 + terasa 30, banketove priestory",0907 701 070,restauracia@vinomatysak.sk,restauraciamatysak.sk,Z7,svadby,
Velka restauracia / banketova sala,Bratislavsky mestiansky pivovar - Drevena,,Drevena 8,Bratislava-Stare Mesto,Bratislava I,"~180 + terasa 25, salonik 35",944512265,info@mestianskypivovar.sk,mestianskypivovar.sk,Z1,,
Velka restauracia / banketova sala,Event Hall Malacky,,Malacky,Malacky,Malacky,"svadobna sala do 250, vlastna kuchyna",910780790,info@eventhall.sk,eventhall.sk,Z6,kontakt cez web,
Velka restauracia / banketova sala,Bratislavsky mestiansky pivovar - Dunajska,,Dunajska 21,Bratislava-Stare Mesto,Bratislava I,"~280 + terasa 300, salonik 60",948710888,dunajska@mestianskypivovar.sk,mestianskypivovar.sk,Z1,,
Velka restauracia / banketova sala,ELESKO Wine Park (Restaurant & Wine bar),,Partizanska 2275,Modra,Pezinok,"Zoya Museum 200-400, restauracia 80",+421 905 704 873,martin.chovanec@elesko.sk,elesko.sk,Z7,event manager Peter Toth,
Velka restauracia / banketova sala,Slovak Pub,,Obchodna 62,Bratislava-Stare Mesto,Bratislava I,~500 miest (11 miestnosti),+421 917 629 221,slovakpub@slovakpub.sk,slovakpub.sk,Z1,,
Velka restauracia / banketova sala,NH Bratislava Gate One,,Ambrusova 7,Bratislava-Ruzinov,Bratislava II,"najvacsia sala do 600, 8-10 sal",,nhgateone@nh-hotels.com,nh-hotels.com,Z2,,
Velka restauracia / banketova sala,Holiday Inn Bratislava,,Bajkalska 25/A,Bratislava-Ruzinov,Bratislava II,"6 sal, do 600 hosti",,,ihg.com,Z2,event kontakt cez IHG,
Velka restauracia / banketova sala,Dunajsky pivovar (lod/botel),,Tyrsovo nabrezie,Bratislava-Petrzalka,Bratislava V,"~600 (terasa 250, salonik 50)",+421 948 418 934,dunajskypivovar@dunajskypivovar.sk,dunajskypivovar.sk,Z3,,
Velka restauracia / banketova sala,Hotel Saffron,,Radlinskeho 27,Bratislava-Stare Mesto,Bratislava I,"6 sal, 1500 m2, do 900 osob",+421 948 660 459,marketing@hotelsaffron.sk,hotelsaffron.sk,Z1,,
Velka restauracia / banketova sala,Radisson Blu Carlton,,Hviezdoslavovo nam. 3,Bratislava-Stare Mesto,Bratislava I,do 1000 hosti,+421 2 5939 0000,reservation.bratislava@radissonblu.com,radissonhotels.com,Z1,,
Velka restauracia / banketova sala,Hotel Senec (Lake & Aqua Resort),,Slnecne jazera-Sever,Senec,Senec,kongres do 1000 (svadby do ~300),+421 904 543 513,kakasova@hotelsenec.sk,hotelsenec.sk,Z8,event Stela Kakasova,
Velka restauracia / banketova sala,Sheraton Bratislava,,Pribinova 12,Bratislava-Stare Mesto,Bratislava I,"ballroom do 400, standing do 1500",,,marriott.com,Z1,Eurovea; event cez Marriott MICE,
Velka restauracia / banketova sala,Park Inn by Radisson Danube,,Rybne nam. 1,Bratislava-Stare Mesto,Bratislava I,"event 471 m2, do 400 delegatov",+353 1 5138080,,radissonhotels.com,Z1,,
Velka restauracia / banketova sala,Falkensteiner Hotel Bratislava,,Pilarikova 5,Bratislava-Stare Mesto,Bratislava I,"sala 173 m2, recepcia do 300",+421 2 5923 6100,,falkensteiner.com,Z1,,
Velka restauracia / banketova sala,Grand Hotel River Park (Luxury Collection),,Dvorakovo nabrezie 6,Bratislava-Stare Mesto,Bratislava I,banketove saly,+421 2 3223 8222,,grandriverpark.sk,Z1,event cez Marriott,
Velka restauracia / banketova sala,Koliba Senec,,Slnecne jazera-Sever,Senec,Senec,"svadby/oslavy/firemne, bazen, ubytovanie",+421 908 602 020,,kolibasenec.sk,Z8,,
Velka restauracia / banketova sala,Stara trznica,,Namestie SNP 25,Bratislava-Stare Mesto,Bratislava I,"multifunkcna hala, velke eventy",+421 948 420 999,trznica@staratrznica.sk,staratrznica.sk,Z1,catering externy,
Velka restauracia / banketova sala,Restauracia Zeleny dvor,,M. R. Stefanika 110,Malacky,Malacky,svadby/oslavy/firemne,+421 917 977 311,,zelenydvormalacky.sk,Z6,,
Velka restauracia / banketova sala,Penzion Palenica,,Bernolakovo,Bernolakovo,Senec,"terasova miestnost ~100, restauracia 60",421907795658,,penzionpalenica.eu,Z8,,
Velka restauracia / banketova sala,RIVERBANK Restaurant,,Dvorakovo nabrezie 6,Bratislava-Stare Mesto,Bratislava I,fine-dining pri Dunaji,+421 910 872 168,,riverbank.sk,Z1,pri Grand Hotel River Park,
Velka restauracia / banketova sala,Hotel Nostalgia,,Senec,Senec,Senec,sala do ~120 s parketom,+421 / 949 616 665,,hotelnostalgia.sk,Z8,svadby/oslavy,
Restauracna siet (3+ prevadzok),KRUH remeselna pekaren (Kruh remeselna vyroba s.r.o.),47762799,Kutuzovova 11 (sidlo),Bratislava-Nove Mesto,Bratislava III,3 prevadzky,+421 915 512 230,ahoj@kruhpekaren.sk,kruhpekaren.sk,Z2,3 prevadzky (siet remeselnych pekarni),Emília Tomljenović
Restauracna siet (3+ prevadzok),Triple Five Coffee,47117311,Jozefska 2A,Bratislava-Stare Mesto,Bratislava I,3 prevadzky,0940 629 026,,triplefivecoffee.com,Z1,3 prevadzky,"Martin Beniak, Tomáš Tatarka"
Restauracna siet (3+ prevadzok),Fresh Garden Salads (FRESH GARDEN s.r.o.),45522464,Plynarenska 2/A,Bratislava-Ruzinov,Bratislava II,3 prevadzky,+421 902 311 331,info@freshgarden.sk,freshgarden.sk,Z2,3 prevadzky,Radoslav Laurinec
Restauracna siet (3+ prevadzok),Pulitzer family (RIVAS s.r.o.),35946008,Drobneho 21 (sidlo),Bratislava-Dubravka,Bratislava IV,3 restauracie fine-dining,421940511179,rezervacie@pulitzer.sk,https://pulitzer.sk/,Z4,"Stefanka, Pulitzer, U zlateho jelena",Richard Farenzena
Restauracna siet (3+ prevadzok),Domino's Pizza (APIM Gastro s.r.o.),50616951,Sartorisova 11 (sidlo),Bratislava-Ruzinov,Bratislava II,4 prevadzky,,,dominospizza.sk,Z2,4 prevadzky,"Ivan Apostolov, Mário Apostolov"
Restauracna siet (3+ prevadzok),EDO-KIN GROUP s.r.o.,46988882,Raztocna 25 (sidlo),Bratislava-Vrakuna,Bratislava II,"4 prevadzky, trzby 2,84 mil EUR (2024)",421903508894,,www.edo-kin.sk/,Z5,4 prevadzky,"Michal Šramko, Karol Gálik"
Restauracna siet (3+ prevadzok),Coffeeshop Company CEE s.r.o.,35689498,Janoskova 4 (sidlo),Bratislava-Nove Mesto,Bratislava III,5-6 kaviarni,‭+43 1 2260226 - 11‬,office@coffeeshopcompany.com,coffeeshopcompany.com,Z2,5-6 kaviarni,Zhanna Alanova
Restauracna siet (3+ prevadzok),Regal Burger s.r.o.,47581930,sidlo Drahovce (prevadzky v BA),Bratislava,Bratislava I,5-6 prevadzok,,info@regalburger.com,regalburger.com,Z2,5-6 prevadzok v BA; sidlo Drahovce (mimo BA kraja),"Jozef Bardík, Jozef Kuzma"
Restauracna siet (3+ prevadzok),Bevanda,doplnit,Kubacova 23,Bratislava-Raca,Bratislava III,6 restauracii,+421 905 551 705,bevanda@bevanda.sk,bevanda.sk,Z2,6 restauracii,
Restauracna siet (3+ prevadzok),Mondieu (MONDIEU BRATISLAVA s.r.o.),47114533,Mileticova 1 (sidlo),Bratislava-Ruzinov,Bratislava II,7 kaviarni,,info@mondieu.sk,mondieu.sk,Z2,7 kaviarni,Ľubomír Slimák
Restauracna siet (3+ prevadzok),Veg Life s.r.o.,46880526,Dubravska cesta 14 (sidlo),Bratislava-Karlova Ves,Bratislava IV,8 bistro prevadzok,0905 295 165,info@veglife.sk,veglife.sk,Z4,cisty 1 kontakt - dobry B2B lead,"Filip Jaško, Peter Jurík"
Restauracna siet (3+ prevadzok),SPUSTA Kaviaren & Pekaren,31640826,Pifflova 6,Bratislava-Petrzalka,Bratislava V,"17-18 prevadzok (vratane Senec, Pezinok)",+421 918 689 366,info@spustakaviaren.sk,spustakaviaren.sk,Z3,aj okresy; 2. ICO 35803568,Ing. Dušan Spusta
Restauracna siet (3+ prevadzok),AmRest Coffee SK s.r.o. (Starbucks),50088971,Pajstunska 3 (sidlo),Bratislava-Petrzalka,Bratislava V,Starbucks 6-7 + KFC/BK/PizzaHut,,,starbucksslovakia.sk,Z3,"skupina AmRest, viac brandov","Ismael Moreno, Santiago Pérez"
Restauracna siet (3+ prevadzok),Queensway Restaurants Slovakia s.r.o. (KFC + Pizza Hut),35852143,"Pribinova 4, Eurovea Central 1",Bratislava-Stare Mesto,Bratislava I,"~20,5 mil EUR; KFC 7 + Pizza Hut 3",,,kfcslovakia.sk,Z1,over aktualnu entitu (AmRest),"Karim Jivraj, Rudolf Hacker, Alexandra Maar, Pierre Hardy"
Restauracna siet (3+ prevadzok),McDonald's Slovakia spol. s r.o.,31392229,Einsteinova 33,Bratislava-Petrzalka,Bratislava V,"52,45 mil EUR (2024); ~18 prevadzok v kraji",,,mcdonalds.sk,Z3,NAJVACSI retazec; +Pezinok,"Tereza Trepáčová, Yuliya Badritdinova"
Statne firmy a urady,Bratislavsky samospravny kraj (Urad BSK),36063606,Sabinovska 16,Bratislava-Ruzinov,Bratislava II,kraj ~470 tis obyv; zriadovatel ~50 strednych skol a soc. zariadeni so skolskymi/zariadenskymi jedalnami,02/4826 4111,podatelna@region-bsk.sk,region-bsk.sk,BA1,SILNY CIEL; zriadovatel SOS/gymnazii a DSS s vlastnymi kuchynami; centralne VO potravin pre svoje organizacie,
Statne firmy a urady,Hlavne mesto SR Bratislava (Magistrat),00603481,Primacialne namestie 1,Bratislava-Stare Mesto,Bratislava I,"mesto ~475 tis obyv; cez mestske casti zriadovatel MS/ZS so skolskymi jedalnami, mestske organizacie",02/5935 6111,info@bratislava.sk,bratislava.sk,BA1,"SILNY CIEL; siet skolskych jedalni MS/ZS, socialne zariadenia mesta, VO stravy a potravin",
Statne firmy a urady,Univerzita Komenskeho v Bratislave,00397865,Safarikovo namestie 6,Bratislava-Stare Mesto,Bratislava I,"najvacsia VS v SR, ~20-25 tis studentov + ~4-5 tis zam; vlastne menzy a jedalne",02/9012 9555,mlyny@uniba.sk,mlyny.uniba.sk,BA1,"SILNY CIEL; vlastne vysokoskolske jedalne, tisice stravnikov denne",
Statne firmy a urady,Vysokoskolske mesto L. Stura - Mlyny UK,00397865,Stare grunty 36,Bratislava-Karlova Ves,Bratislava IV,"internat ~6500 luzok; najvacsi SD v SR, vlastne stravovacie prevadzky (jedalen/bufety)",02/9012 9555,mlyny@uniba.sk,mlyny.uniba.sk,BA1,"SILNY CIEL; najvacsi student. domov v SR, vlastne jedalne pre tisice stravnikov; sucast UK (rovnake ICO)",
Statne firmy a urady,Slovenska technicka univerzita v Bratislave,00397687,Vazovova 5,Bratislava-Stare Mesto,Bratislava I,"~12-15 tis studentov + ~3-4 tis zam; vlastne menzy (Mladost, Nezabudka)",02/5729 4537,,stuba.sk,BA1,"SILNY CIEL; menza Mladost (Stare grunty 53) + dalsie jedalne, velkoobjemove stravovanie",
Statne firmy a urady,Ekonomicka univerzita v Bratislave,00399957,Dolnozemska cesta 1,Bratislava-Petrzalka,Bratislava V,~8 tis studentov + zam; studentske domovy a univerzitna jedalen,02/6729 5356,komunikacia@euba.sk,euba.sk,BA1,SILNY CIEL; SD Horsky park/Hrobonova + univ. jedalen (prevadzkuje aj externy dodavatel),
Statne firmy a urady,Univerzitna nemocnica Bratislava (UNB),31813861,Pazitkova 4,Bratislava-Ruzinov,Bratislava II,"5000-9999 zam; 5 nemocnic (Ruzinov, Stare Mesto, Kramare, Petrzalka, Podunajske Biskupice)",02/4823 4111,unb@unb.sk,unb.sk,BA1,"SILNY CIEL; viacero nemocnicnych kuchyn, strava pacientov + zamestnanci; velke VO potravin",
Statne firmy a urady,Ministerstvo obrany SR,30845572,Kutuzovova 8,Bratislava-Nove Mesto,Bratislava III,rezort tisice zam v BA; rezortne jedalne a stravovacie zariadenia,02/4445 2134,tlacove@mod.gov.sk,mosr.sk,BA1,SILNY CIEL; rezortna jedalen na ustredi + VO stravovania pre OS SR,
Statne firmy a urady,Velitelstvo posadky Bratislava (OS SR),doplnit ORSR,Kutuzovova 8,Bratislava-Nove Mesto,Bratislava III,posadkove zabezpecenie hl. mesta; kasarenske stravovacie zariadenia v BA,0960 312 333,,vepba.mil.sk,BA1,SILNY CIEL; kasarenske kuchyne/jedalne vojakov; utvar OS SR (ICO pod MO SR 30845572),
Statne firmy a urady,Ministerstvo vnutra SR,00151866,Pribinova 2,Bratislava-Stare Mesto,Bratislava I,rezort >30 tis zam; ustredie + jedalne na pracoviskach v BA,0961 011 111,tokmv@minv.sk,minv.sk,BA1,"SILNY CIEL; rezortne jedalne (PZ, HaZZ), centralne VO potravin a stravovania",
Statne firmy a urady,Krajske riaditelstvo PZ v Bratislave,00151866,Spitalska 14,Bratislava-Stare Mesto,Bratislava I,krajske velitelstvo policie pre BA kraj; stravovanie prislusnikov,0961 011 111,,minv.sk,BA1,SILNY CIEL; jedalen pre policajtov na Spitalskej; rozpoctovo pod MV SR 00151866,
Statne firmy a urady,Ustav na vykon vazby a vykon trestu Bratislava (ZVJS),00738255,Chorvatska 5,Bratislava-Stare Mesto,Bratislava I,kapacita ~773 vaznenych + personal; vlastna vazenska kuchyna varia denne stovky porcii,02/2083 2105,sekretariatrba@zvjs.sk,zvjs.sk,BA1,"SILNY CIEL; vazenska kuchyna, stabilne velkoobjemove VO potravin (maso, pecivo, zelenina)",
Statne firmy a urady,Zeleznice Slovenskej republiky (ZSR),31364501,Klemensova 8,Bratislava-Stare Mesto,Bratislava I,"10000-19999 zam; GR + prevadzky v BA, zazemie so stravovanim",02/2029 2111,gro210@zsr.sk,zsr.sk,BA1,"Velky statny podnik, sidlo GR v BA; firemne stravovanie na ustredi a prevadzkach",Miroslav Garaj
Statne firmy a urady,Slovenska posta a.s. - prevadzka Bratislava,36631124,Tomasikova 54,Bratislava-Nove Mesto,Bratislava III,statny podnik ~12 tis zam; velky spracovatelsky uzol + riaditelstva v BA,0850 122 413,,posta.sk,BA1,Velky statny zamestnavatel; BA prevadzka/uzol so zamestnaneckym stravovanim,"Vladislav Kupka, Melinda Burdanová, Juliana Márquez, Michaela Rajtarová, Filip Kamenský"
Statne firmy a urady,Krajske riaditelstvo Hasicskeho a zachranneho zboru v Bratislave,36063860,Radlinskeho 6,Bratislava-Stare Mesto,Bratislava I,"statny zbor, stovky zamestnancov; pod MV SR",0961 047 201,sekretariat.bl@minv.sk,minv.sk,BA1,SILNY CIEL; HaZZ velky zamestnavatel so zavodnou kuchynou; hist. ICO (od 2013 pod MV SR 00151866),
