"Kategoria","Firma","ICO","Adresa","Mesto_Stvrt","Okres","Velkost_Trzby_Kapacita","Telefon","Email","Web","Zona_trasa","Poznamka"
"Velka restauracia / banketova sala","DIERY Rezort s.r.o.","36000728","Biely Potok 664","Terchova","Zilina","Hotel Diery, konferencna sala 150 osob, banketova sala 100 osob, obrat 1,87 mil EUR (2024, trzby), 25-49 zam","+421 41 5695 322","info@hotel-diery.sk","hotel-diery.sk","ZA1","Rezortovy hotel pri Terchovskych dierach (Vratna dolina), konferencna/banketova kapacita 100-150 osob"
"Velka restauracia / banketova sala","HI Kongres Hotel Zilina s.r.o.","47504781","Sportova 2","Zilina","Zilina","Holiday Inn Zilina, sala Milenium banket az 600 osob (Milenium I 150 + II 200), obrat cca 4,3 mil EUR (2024, trzby), 50-99 zam","+421 41 5050 100","info@holidayinn-zilina.sk","holidayinn-zilina.sk","ZA1","SILNY CIEL; najvacsi kongresovo-banketovy hotel v Ziline (brand Holiday Inn/IHG, prevadzkuje HI Kongres Hotel Zilina s.r.o.), banket az 600 osob"
"Velka restauracia / banketova sala","HOTEL TURIEC, a.s.","36715425","A. Sokolika 2","Martin","Martin","obrat 3,02 mil EUR (2024, trzby); 7 konferencnych sal (10-250 osob), banketova kapacita do 170 osob","+421 43 4012 077","hotelturiec@hotelturiec.sk","hotelturiec.sk","ZA2","SILNY CIEL; 4* biznis hotel v Martine, 7 konferencnych sal, banketova kapacita do 170 osob"
"Velka restauracia / banketova sala","Victoria Group, s.r.o.","36411779","V. Zingora 9820","Martin","Martin","Hotel Victoria, Congress sala 220 osob + Lobby Bar 250 osob, banketova kapacita az 350 osob, obrat 1,82 mil EUR (2025, trzby)","+421 43 4304 836","recepcia@hotelvictoria.sk","hotelvictoria.sk","ZA2","SILNY CIEL; 4* hotel v Martine, banketova kapacita az 350 osob (Congress + Lobby Bar)"
"Velka restauracia / banketova sala","Slovenske liecebne kupele Turcianske Teplice, a.s.","31642322","SNP 519","Turcianske Teplice","Turcianske Teplice","obrat cca 14 mil EUR (2024, trzby), 100-249 zam; Hotel Royal Palace 5*, Kursalon banket 150 osob / koktail 200 osob","+421 43 4918 010","royalreservations@therme.sk","therme.sk","ZA2","SILNY CIEL; kupelny rezort Turcianske Teplice (Hotel Royal Palace 5*), banketova sala Kursalon do 150-200 osob"
"Velka restauracia / banketova sala","SLOVAKIA REAL - IN, a.s.","35789638","A. Bernolaka 1","Ruzomberok","Ruzomberok","Hotel Kultura, Velka dvorana az 500 osob, Spolocenska sala 150 osob, Atrium 100 osob, obrat cca 2,9 mil EUR (2024, trzby)","+421 44 4313 111","recepcia@hotelkultura.sk","hotelkultura.sk","ZA3","SILNY CIEL; kongresovy hotel v Ruzomberku, Velka dvorana az 500 osob, viacero banketovych sal"
"Velka restauracia / banketova sala","Hotel Altis Rezort, s.r.o.","31431127","Oravska Priehrada 612","Namestovo","Namestovo","4* hotel pri Oravskej priehrade, kongresove centrum az cca 100 hosti","+421 904 747 747","recepcia@hotelaltis.sk","hotelaltis.sk","ZA5","SILNY CIEL; 4* hotel pri Oravskej priehrade, kongresova/banketova kapacita cca 100 hosti"
"Velka restauracia / banketova sala","KIMEX Group s.r.o.","36191906","Brezovica 370","Brezovica","Tvrdosin","Oravsky Haj Garden Hotel & Resort, banketova sala 120 osob, kongresna sala az 150 osob","+421 915 830 042","events@oravskyhaj.sk","oravskyhaj.sk","ZA5","SILNY CIEL; Oravsky Haj Garden Hotel & Resort pri Trstene, banketova kapacita 120-150 osob (firma KIMEX, sidlo Kosice)"
"Restauracna siet (3+ prevadzok)","NHABE s.r.o.","51043181","M. R. Stefanika 22","Martin","Martin","obrat 0,76 mil EUR (2024, trzby), 10-19 zam; 3 prevadzky","+421910172869","info@nhabe.sk","nhabe.sk","ZA2","SILNY CIEL; vietnamske bistro NhaBe, 3 prevadzky (Martin, Banska Bystrica, Zilina-Vlcince Obchodna 3D); zalozene 2017"
"Restauracna siet (3+ prevadzok)","Liptovske pekarne a cukrarne VCELA - Lippek k.s.","36394556","1. maja 1919","Liptovsky Mikulas","Liptovsky Mikulas","obrat 10,73 mil EUR (2025, trzby), 100-149 zam; 8 prevadzok (2 kaviarne Cafe Vcela + 6 predajni s cerstvym pecivom)","+421445520473","lippek@lippek.sk","lippek.sk","ZA3","SILNY CIEL; pekarensko-cukrarska siet; 2 kaviarne Cafe Vcela (Garbiarska + Podbreziny v Lipt. Mikulasi) + predajne v Lipt. Hradku, Ruzomberku, Likavke; gastro jadro = 2 kaviarne, zvysok maloobchod s pecivom"
"Restauracna siet (3+ prevadzok)","McDonald's franchisant Zilina-Martin (Luiz Franca, prevadzkovatel)","doplnit ORSR","Nam. A. Hlinku 7B (Mirage)","Zilina","Zilina","5 prevadzok (Martin, 3x Zilina, Dolny Hricov pri D3); obrat/zam franchisanta verejne neoverene","","","","ZA1","SILNY CIEL; McD prevadzky v Ziline a Martine drzi licencny partner Luiz Franca (od 2020); firma/ICO franchisanta sa nepodarilo overit v ORSR/FinStat - NIE centrala McDonald's Slovakia s.r.o."
"Restauracna siet (3+ prevadzok)","COOP Jednota Zilina, spotrebne druzstvo","00169048","Predmestska 71","Zilina","Zilina","obrat 149 mil EUR (2025, trzby), 500-999 zam; siet predajni s vyrobou hotovych jedal/polotovarov","+421417051900","","coopjednotaza.sk","ZA1","SILNY CIEL; spotrebne druzstvo, primarne maloobchod s potravinami; gastro zlozka = vyroba hotovych jedal a stravovacia cinnost v predajniach (doplnkova, nie samostatne restauracie)"
"Restauracna siet (3+ prevadzok)","COOP Jednota Cadca, spotrebne druzstvo","00168947","Palarikova 87","Cadca","Cadca","obrat 150,5 mil EUR (2025, trzby), 1000-1999 zam; siet predajni s gastro/stravovacou zlozkou","+421414332152","","coopcadca.sk","ZA4","SILNY CIEL; spotrebne druzstvo, primarne maloobchod; gastro zlozka = stravovacia cinnost/bufety v predajniach (doplnkova, nie samostatne restauracie)"
"Restauracna siet (3+ prevadzok)","COOP Jednota Liptovsky Mikulas, spotrebne druzstvo","00168963","ul. 1. maja 54","Liptovsky Mikulas","Liptovsky Mikulas","obrat 85,24 mil EUR (2025, trzby), 500-999 zam; siet predajni s gastro/stravovacou zlozkou","+421443700201","","jednotalm.sk","ZA3","spotrebne druzstvo, primarne maloobchod; gastro zlozka = stravovacia cinnost/bufety v predajniach (doplnkova, nie samostatne restauracie)"
"Statne firmy a urady","Zilinsky samospravny kraj","37808427","Komenskeho 48","Zilina","Zilina","zriadovatel desiatok SS a socialnych zariadeni s kuchynami v kraji","041/5032111","podatelna@zilinskazupa.sk","zilinskazupa.sk","ZA1","SILNY CIEL; VUC zriadovatel SS a DSS s vlastnymi skolskymi a zariadenskymi jedalnami, centralizovane VO potravin"
"Statne firmy a urady","Zilinska univerzita v Ziline","00397563","Univerzitna 8215/1","Zilina","Zilina","vyse 8000 studentov + 1000+ zam; viacero menz a studentskych domovov","041/5135001","rektor@uniza.sk","uniza.sk","ZA1","SILNY CIEL; najvacsia VS v kraji, tisice stravnikov denne v menzach a SD, verejne obstaravanie stravy a potravin"
"Statne firmy a urady","Univerzitna nemocnica Martin","00365327","Kollarova 2","Martin","Martin","900 lozok; velka nemocnicna kuchyna, stravovanie pacientov + personalu","043/4203303","sekretariat@unm.sk","unm.sk","ZA2","SILNY CIEL; fakultna nemocnica s celoslovenskou posobnostou, velkokapacitna stravovacia prevadzka"
"Statne firmy a urady","Fakultna nemocnica s poliklinikou Zilina","17335825","Vojtecha Spanyola 1740/43","Zilina","Zilina","velka krajska nemocnica; nemocnicna kuchyna pre pacientov a personal","041/5110111","sekretariat@fnspza.sk","fnspza.sk","ZA1","SILNY CIEL; jedna z najvacsich nemocnic v kraji, velkokapacitna kuchyna, pravidelne VO potravin"
"Statne firmy a urady","Akademia ozbrojenych sil generala M. R. Stefanika","37910337","Demanova 393","Liptovsky Mikulas","Liptovsky Mikulas","vojenska vysoka skola; vojenska jedalen pre studentov a personal","0960/422090","akaos@aos.sk","aos.sk","ZA3","SILNY CIEL; vojenska akademia s vlastnym ICO, stala vojenska jedalen, VO stravy a potravin"
"Statne firmy a urady","Ustav na vykon trestu odnatia slobody Ruzomberok (ZVJS)","00738379","Doncova 1457/6","Ruzomberok","Ruzomberok","kapacita 378 odsudenych; vazenska kuchyna stravujuca odsudenych + personal","044/4324035","","zvjs.sk","ZA3","SILNY CIEL; vazenske zariadenie ZVJS s vlastnym ICO, denne stravovanie stoviek osob, VO potravin"
"Statne firmy a urady","Ustav na vykon trestu odnatia slobody pre mladistvych Sucany (ZVJS)","00738361","Druzstevna 1611/2","Sucany","Martin","kapacita 517 osob; vazenska kuchyna pre odsudenych + personal","043/4222720","","zvjs.sk","ZA2","SILNY CIEL; vazenske zariadenie ZVJS s vlastnym ICO, velka kapacita, denne stravovanie stoviek osob"
"Statne firmy a urady","Katolicka univerzita v Ruzomberku","37801279","Hrabovska cesta 5512/1A","Ruzomberok","Ruzomberok","vyse 2000 studentov; studentske domovy a jedalen","044/4326842","rektor@ku.sk","ku.sk","ZA3","SILNY CIEL; druha univerzita v kraji, SD jedalen, VO stravy a potravin"
"Statne firmy a urady","Mesto Zilina (Mestsky urad)","00321796","Namestie obeti komunizmu 1","Zilina","Zilina","mestsky urad; zriadovatel ZS a MS so skolskymi jedalnami","041/7063111","sekretariatmsu@zilina.sk","zilina.sk","ZA1","SILNY CIEL; mestsky urad zriadovatel skol so skolskymi jedalnami, centralne VO potravin pre jedalne"
"Statne firmy a urady","Mesto Martin (Mestsky urad)","00316792","Namestie S. H. Vajanskeho 1","Martin","Martin","mestsky urad; zriadovatel ZS a MS so skolskymi jedalnami","043/4204111","msu@martin.sk","martin.sk","ZA2","mestsky urad zriadovatel skol so skolskymi jedalnami, VO potravin pre jedalne"
"Statne firmy a urady","Mesto Ruzomberok (Mestsky urad)","00315737","Namestie A. Hlinku 1098/1","Ruzomberok","Ruzomberok","mestsky urad; zriadovatel ZS a MS so skolskymi jedalnami","044/4314422","podatelna@ruzomberok.sk","ruzomberok.sk","ZA3","mestsky urad zriadovatel skol so skolskymi jedalnami, VO potravin pre jedalne"
"Statne firmy a urady","Mesto Liptovsky Mikulas (Mestsky urad)","00315524","Sturova 1989/41","Liptovsky Mikulas","Liptovsky Mikulas","mestsky urad; zriadovatel ZS a MS so skolskymi jedalnami","044/5565111","lmikulas@mikulas.sk","mikulas.sk","ZA3","mestsky urad zriadovatel skol so skolskymi jedalnami, VO potravin pre jedalne"
"Statne firmy a urady","Mesto Cadca (Mestsky urad)","00313971","Namestie Slobody 30","Cadca","Cadca","mestsky urad; zriadovatel ZS a MS so skolskymi jedalnami","041/4302212","sekretariat@mestocadca.sk","mestocadca.sk","ZA4","mestsky urad zriadovatel skol so skolskymi jedalnami, centralny ciel pre Kysuce"
"Statne firmy a urady","Krajske riaditelstvo Policajneho zboru v Ziline","00151866","Kuzmanyho 26","Zilina","Zilina","krajske policajne riaditelstvo; stravovanie prislusnikov PZ","0961/402115","","minv.sk","ZA1","krajske riaditelstvo PZ pod MV SR (ICO 00151866), stravovanie prislusnikov, VO stravnych sluzieb"
"Statne firmy a urady","Krajske riaditelstvo Hasicskeho a zachranneho zboru v Ziline","37809369","Namestie poziarnikov 1","Zilina","Zilina","statny zbor, stovky zamestnancov; pod MV SR","041/707 2201","sekretariat.zi@minv.sk","minv.sk","ZA1","SILNY CIEL; HaZZ velky zamestnavatel so zavodnou kuchynou; hist. ICO (od 2013 pod MV SR)"
"Statne firmy a urady","Zeleznice Slovenskej republiky - OR Zilina","31364501","1. maja 34","Zilina","Zilina","2293 zam (oblastne riaditelstvo)","041/229 5112","ORZA.sekretariat@zsr.sk","zsr.sk","ZA1","SILNY CIEL; OZ Zilina - najvacsi ZSR uzol; vlastna kuchyna/zavodne stravovanie"
"Tackaren / zavodna jedalen","Liptovska nemocnica s poliklinikou MUDr. Ivana Stodolu","17336163","Palucanska 214/25","Liptovsky Mikulas","Liptovsky Mikulas","500+ zam","044/556 3100","","nsplm.sk","ZA3","SILNY CIEL; ZSK; lozkova nemocnica; Liptov"
"Tackaren / zavodna jedalen","Dolnooravska nemocnica s poliklinikou MUDr. L. N. Jegeho","00634905","Nemocnicna 1944/10","Dolny Kubin","Dolny Kubin","250-499 zam","043/580 1111","","donsp.sk","ZA5","ZSK; lozkova nemocnica; Oravia (okres Dolny Kubin)"
"Tackaren / zavodna jedalen","Kysucka nemocnica s poliklinikou Cadca","17335469","Palarikova 2311","Cadca","Cadca","200-499 zam","","","kysuckanemocnica.sk","ZA4","ZSK; lozkova nemocnica; Kysuce"
