Kategoria,Firma,ICO,Adresa,Mesto_Stvrt,Okres,Velkost_Trzby_Kapacita,Telefon,Email,Web,Zona_trasa,Poznamka,Konatel
Tackaren / zavodna jedalen,Univerzita Mateja Bela v Banskej Bystrici,30232295,Narodna 12,Banska Bystrica,Banska Bystrica,500-999 zam + tisice studentov; studentska jedalen/menza,048/4467619,umb@umb.sk,umb.sk,B1,SILNY CIEL; univerzitna jedalen + zamestnanci; over operatora stravovania,
Tackaren / zavodna jedalen,Technicka univerzita vo Zvolene (SDaJ),00397440,Studentska 27,Zvolen,Zvolen,"studentska jedalen, 5+ jedal/obed; tisice studentov + zamestnanci",045/5206111,info@tuzvo.sk,tuzvo.sk,B2,SILNY CIEL; Studentsky domov a jedalen je interna sucast univerzity (sdj.tuzvo.sk); sidlo T. G. Masaryka 24,
Tackaren / zavodna jedalen,Nemocnica AGEL Zvolen a.s.,45594929,Kuzmanyho nabrezie 28,Zvolen,Zvolen,"~200+ luzok, 500-999 zam, az 40 typov diet",,,nemocnicazvolen.agel.sk,B2,SILNY CIEL; nemocnicna kuchyna pacienti + personal; skupina AGEL; pristavba +60 novych luzok,"Waldemar Kmiecik, Ľudmila Veselá, Ján Haško, Michal Zakarovský"
Tackaren / zavodna jedalen,KRONOSPAN s.r.o. (byv. Bucina),36059323,Lucenecka cesta 1335/21,Zvolen,Zvolen,"250-499 zam; drevarsky/DDD zavod, zavodna jedalen",,,kronospan.sk,B2,SILNY CIEL; velky drevospracujuci zavod Zvolen (historicky nazov Bucina DDD); zavodne stravovanie,"Denisa Klöslová, Pavel Jurčišin, Daniel Huliak"
Tackaren / zavodna jedalen,PPS Group a.s.,36011509,Tajovskeho 7,Detva,Detva,"trzby 56,43 mil EUR (2025), 500-999 zam",,,ppsgroup.sk,B4,"SILNY CIEL; najvacsi zamestnavatel okresu Detva (strojarstvo, zvarence/rame); velka zavodna jedalen; operator stravovania over","Ing. Ľuboš Valach, Ing. Roman Hýrošš, Ing. Stanislav Pavel"
Tackaren / zavodna jedalen,Nemocnica s poliklinikou Krupina,17335701,29. augusta 23,Krupina,Krupina,mestska lozkova nemocnica + poliklinika; pacienti + personal,045/5550,,nemocnicakrupina.agel.sk,B4,SILNY CIEL; jedina lozkova nemocnica okresu Krupina; prevadzkovana cez AGEL; trzby/pocet luzok doplnit FinStat,
Tackaren / zavodna jedalen,Nemak Slovakia s.r.o.,36042773,Ladomerska Vieska 394,Ziar nad Hronom,Ziar nad Hronom,"trzby 230,5 mil EUR (2024), 1000-1999 zam; zavodna jedalen",,,nemak.com,B3,"SILNY CIEL; automotive zlievaren hlinika, najvacsi sukromny zamestnavatel okresu (~1500 zam); over operatora jedalne","Rastislav Gáll, Milan Marko, Marek Minda"
Tackaren / zavodna jedalen,"Slovalco, a.s.",31587011,Priemyselna 14,Ziar nad Hronom,Ziar nad Hronom,"trzby 101,3 mil EUR (2024), 150-199 zam; zavodna jedalen",,,slovalco.sk,B3,"SILNY CIEL; spracovanie hlinika (Hydro 55%); po odstaveni elektrolyznych peci 2023 redukovany stav, stale velka prevadzka v ZSNP areali","Marián Slivovič, Knut Meel, Martin Krchňavý, Phillip McIntosh"
Tackaren / zavodna jedalen,"Fagor Ederlan Slovensko, a.s.",36022934,Priemyselna 12,Ziar nad Hronom,Ziar nad Hronom,"100-149 zam; tlakova zlievaren hlinika, zavodne stravovanie",,,fagorederlan.com,B3,SILNY CIEL; automotive zlievaren (byv. ZSNP Foundry) v priemyselnom areali ZSNP; stabilny denny objem obedov,"Ernesto Gabilondo, Adam Pajunk"
Tackaren / zavodna jedalen,"TUBAPACK, a.s.",36629723,Priemyselna 12,Ziar nad Hronom,Ziar nad Hronom,"vyrobca hlinikovych a laminatovych tub; zaklad. imanie 6,79 mil EUR; zavodne stravovanie",0908 738 855,tubapack@tubapack.sk,tubapack.eu,B3,priemyselny zavod v ZSNP areali; stredny-velky objem stravnikov; pocet zam over FinStat,"Beata Javorská, Richard Pittner, Radovan Pittner, Monika Bošková"
Tackaren / zavodna jedalen,Nemocnica AGEL Ziar nad Hronom a Banska Stiavnica s.r.o.,54588952,Sladkovicova 11,Ziar nad Hronom,Ziar nad Hronom,"196 luzok, 18 ambulancii; spadova oblast ~100000 (ZH+ZC+BS)",,,nemocnicaziarnadhronom.agel.sk,B3,SILNY CIEL; nemocnicna kuchyna pacienti + personal; skupina AGEL; hlavna lozkova prevadzka v Ziari,"Waldemar Kmiecik, Ľudmila Veselá, Tomáš Lučkai, Ján Haško"
Tackaren / zavodna jedalen,"Knauf Insulation, s.r.o. (zavod Nova Bana)",31628109,Zeleznicny rad 24,Nova Bana,Zarnovica,250-499 zam; jediny vyrobca kamennej miner. vlny v SR; zavodna jedalen,,,knaufinsulation-zavod.sk,B3,SILNY CIEL; najvacsi priemyselny zamestnavatel okresu Zarnovica; nepretrzita prevadzka = denne stravovanie cez zmeny,"Ing. Alexander Écsi, Dominique Bossan, Ing. Vladimír Boroš, Ing. Fritz Lackner, Ing. Tivadar Németh"
Tackaren / zavodna jedalen,Vseobecna nemocnica s poliklinikou Lucenec n.o.,37954571,Namestie republiky 2373/15,Lucenec,Lucenec,"trzby 37,6 mil EUR (2025), 500-999 zam; nova kuchyna pre pacientov + personal",047/4311111,info@lcnsp.sk,lcnsp.sk,B6,"SILNY CIEL; najvacsia nemocnicna kuchyna okresu, novovybudovana prevadzka liecebnej vyzivy + jedalen pre personal",
Tackaren / zavodna jedalen,Adient/Johnson Controls (zavod Lucenec),doplnit ORSR,Priemyselna zona Juh,Lucenec,Lucenec,automotive vyroba penovych komponentov sedaciek; velka prevadzka so zavodnym stravovanim,,,adient.com,B6,"SILNY CIEL; velky automotive zamestnavatel okresu, priem. zona Juh; presny prevadzkovy subjekt + ICO + operator jedalne over ORSR",
Tackaren / zavodna jedalen,MECOM GROUP s.r.o. (prevadzka Lucenec),31735151,Mikusovska cesta 3022,Lucenec,Lucenec,"cely podnik trzby 189,5 mil EUR (2024), 1000-1999 zam; vlastna zavodna jedalen na prevadzke",,,mecom.sk,B6,"SILNY CIEL; masokombinat (Smithfield), vlastne zavodne stravovanie; sidlo firmy Humenne, prevadzka v Lucenci","Ladislav Čechovič, Adriana Sill"
Tackaren / zavodna jedalen,Vseobecna nemocnica s poliklinikou n.o. Velky Krtis,31908977,Nemocnicna 756/1,Velky Krtis,Velky Krtis,"trzby 10,6 mil EUR (2024), 250-499 zam; nemocnicna kuchyna",047/2900111,,nspvk.sk,B6,"SILNY CIEL; spadova nemocnica okresu, vlastna kuchyna pacienti + personal; financne napata (strata 2024)",
Tackaren / zavodna jedalen,R-GLASS Trade s.r.o.,44936982,Katarinska Huta,Katarinska Huta,Poltar,"trzby 7,5+ mil EUR, ~200 zam; sklarska vyroba so zavodnou jedalnou",,,r-glass.sk,B6,"SILNY CIEL; najvacsi vyrobny zamestnavatel okresu Poltar (sklarne v byv. areali Slovglass), zavodne stravovanie","Brigita Mrázová, Drahomíra Riečicová"
Tackaren / zavodna jedalen,"TAURIS, a.s.",36773123,Potravinarska 6,Rimavska Sobota,Rimavska Sobota,1000-1999 zam; zavodna jedalen masokombinatu,047/5618201,tauris@tauris.sk,taurisgroup.sk,B7,"SILNY CIEL; najvacsi priemyselny zamestnavatel okresu (masokombinat TAURIS Group), velka zavodna jedalen; over operatora stravovania","Štefan Kalafa, Ivan Treľo, Vladimír Podolinský, Ivan Stanislav, Richard Duda"
Tackaren / zavodna jedalen,"Slovenske magnezitove zavody, a.s. Jelsava (SMZ)",31685340,Tepla Voda 671,Jelsava,Revuca,"trzby 39 mil EUR (2025), 500-999 zam; zavodna jedalen",,,smzjelsava.sk,B7,"SILNY CIEL; najvacsia fabrika okresu Revuca (magnezit), zavodne stravovanie; dcera SMZ-Sluzby (stravovanie) zrusena 2021 - over operatora","Roman Gažúr, Ivan Nemeth, Marek Šeševička, Peter Košinár, Ján Chlebuš"
Tackaren / zavodna jedalen,Vseobecna nemocnica Rimavska Sobota (Svet zdravia/Penta),doplnit ORSR,Srobarova 3129,Rimavska Sobota,Rimavska Sobota,"12 luzkovych oddeleni, ~279 luzok; nemocnicna kuchyna pacienti + personal",,,pentahospitals.sk,B7,"SILNY CIEL; nemocnicna kuchyna, siet Svet zdravia/Penta; prevadzkovy subjekt + ICO over ORSR",
Tackaren / zavodna jedalen,"Nemocnica s poliklinikou Brezno, n.o.",31908969,Banisko 273/1,Brezno,Brezno,320 luzok; nemocnicna kuchyna pacienti + personal,,,nspbr.sk,B5,"SILNY CIEL; nemocnicna kuchyna, samostatna n.o. (NIE Svet zdravia); stabilny denny objem",
Tackaren / zavodna jedalen,"Nemocnica s poliklinikou, n.o. Revuca",45736324,Litovelska 25,Revuca,Revuca,lozkova nemocnica Revuca; nemocnicna kuchyna pacienti + personal,,,nsprevuca.sk,B7,SILNY CIEL; nemocnicna kuchyna; samostatna n.o.; pocet luzok over,
Tackaren / zavodna jedalen,"ZLH Plus, a.s.",36853151,Zlievarenska 533,Hronec,Brezno,"trzby 26,7 mil EUR (2024), 200-249 zam; zavodna jedalen zlievarne",,,zlhhronec.sk,B5,"SILNY CIEL; zlievaren (odliatky pre zelez. priemysel), zavodne stravovanie; over operatora jedalne","Ing. Peter Jarkovský, Ing. Michal Škuta, Ing. Alexej Beljajev, Pavel Kúš"
Velka restauracia / banketova sala,DIXON Resort Congress Hotel (MUDr. Juraj Sninsky - DIXON),doplnit ORSR,Svermova 32,Banska Bystrica,Banska Bystrica,"105 izieb/235 luzok, kongresova sala 500 (najvacsia v regione) + 5 salonikov, restauracia + aquapark",048/4144711,,dixonresort.sk,B1,"SILNY CIEL; najvacsia kongresova/banketova kapacita v BB; prevadzkuje SZCO J. Sninsky, ICO doplnit ORSR",
Velka restauracia / banketova sala,Hotel Arcade Banska Bystrica,doplnit ORSR,Namestie SNP 5,Banska Bystrica,Banska Bystrica,"kongresova sala 230 (kino) / 120 banket, restauracia + cukraren",048/4302111,,arcade.sk,B1,banketova/eventova prevadzka v centre; prevadzkovatel/ICO doplnit ORSR,
Velka restauracia / banketova sala,Restauracia Cerveny Rak (KREBS s.r.o.),44995474,Namestie SNP 13,Banska Bystrica,Banska Bystrica,"restauracia + pivaren do 120 miest, catering do 250 osob",0905 261 355,post@cervenyrak.sk,cervenyrak.sk,B1,"SILNY CIEL; vlastna varna kapacita + catering do 250 osob, minipivovar KREBS","Milan Lukáč, Katarína Lukáčová, Ladislav Lukáč"
Velka restauracia / banketova sala,TENIS CENTRUM s.r.o. (Hotel Tenis CITY RESORT),36029751,Neresnicka cesta 13,Zvolen,Zvolen,"4* kongres+wellness hotel, 5 konf. sal kapacita 10-400 osob, 2 restauracie, 50-99 zam",045/532 23 73,,hoteltenis.sk,B2,"SILNY CIEL; najvacsia kongresova/banketova kapacita Zvolena (do 400), svadby/plesy/firemne; tel 0915 988 811","Jiří Příkazský, Ľubomír Kardoš"
Velka restauracia / banketova sala,Restauracia Centrum Zvolen,doplnit ORSR,J. Kozaceka 8,Zvolen,Zvolen,"3 prepojene priestory, kongresova sala + restauracia, kapacita do 300 osob, tanecny parket",045/533 50 36,info@restauraciacentrum.sk,restauracia-centrum.sk,B2,SILNY CIEL; velka kongresova/svadobna sala do 300 + catering; prevadzkuje aj Kuraci Svet a Blue Cafe; ICO doplnit ORSR,
Velka restauracia / banketova sala,Hotel DETVA s.r.o.,36014613,Zahradna 22,Detva,Detva,"hotel 134 luzok, restauracia + vlastna cukraren + kaviaren + bar; svadby/oslavy",,,,B4,SILNY CIEL; najvacsia ubytovacia + eventova prevadzka okresu Detva; vlastnici R. a M. Suptak; ICO over,Robert Ľupták
Velka restauracia / banketova sala,Premium Star Hotels a.s. (Salamandra Resort),47432039,doplnit,Hodrusa-Hamre,Ziar nad Hronom,"156 luzok, restauracia + bar, kongresove saly do 130 osob, wellness",,,salamandra.sk,B3,"SILNY CIEL; styrhviezdickovy horsky rezort pri Banskej Stiavnici (9 km), MICE/eventy/svadby; sidlo firmy v BA, rezort v Hodrusi-Hamroch (okres Ziar)","Jaroslav Kubaľa, Lucia Krasnohorská, Július Strapek, Adam Jašek"
Velka restauracia / banketova sala,HGM s.r.o. (Hotel Grand Matej),31568742,Namestie sv. Trojice 3,Banska Stiavnica,Banska Stiavnica,"restauracia + terasa; kongresova sala do 250 osob, salonik 60 + 15",045/692 12 13,,grandmatej.sk,B3,SILNY CIEL; najvacsia eventova/kongresova kapacita v centre UNESCO Banskej Stiavnice; svadby/firemne,Darina Kaníková
Velka restauracia / banketova sala,Hotel Salamander,doplnit ORSR,J. Palarika 1,Banska Stiavnica,Banska Stiavnica,restauracia ~30 + salonik 30; hotel v centre mesta,045/691 39 92,,salamanderhotel.sk,B3,mensia kapacita; restauracia + ubytovanie v historickom centre; ICO/prevadzkovatel doplnit ORSR,
Velka restauracia / banketova sala,Hotel Reduta Lucenec (komplex),31615724,Vajanskeho 2,Lucenec,Lucenec,hotel + viacero restauracii/kaviarni + velka spolocenska sala s foyer; svadby/firemne/oslavy,,podujatia@redutalucenec.sk,redutalucenec.sk,B6,"SILNY CIEL; najvacsi eventovy/banketovy komplex v centre Lucenca; povodny prevadzkovatel TRADE CENTER s.r.o. v konkurze, over aktualneho operatora",Juraj Sýkora
Velka restauracia / banketova sala,Restauracia KPU (krcma pana Urbancoka),doplnit ORSR,Obrancov mieru 486,Poltar,Poltar,klimatizovana sala 150 osob + salonik; svadby/oslavy/plesy + kompletny catering,,,dobruchutpoltar.sk,B6,"SILNY CIEL; najvacsia banketova/svadobna sala okresu Poltar, vlastny catering + penzion; ICO doplnit ORSR",
Velka restauracia / banketova sala,Hotel Polo Poltar,doplnit ORSR,doplnit,Poltar,Poltar,restauracia kapacita 100 osob; oslavy/banketovky/svadby/kongresy,,,hotel-polo.sk,B6,banketova/eventova prevadzka v okrese Poltar; ICO + presna adresa doplnit ORSR,
Velka restauracia / banketova sala,"MOVINO, spol. s r.o. (Penzion u Vinara)",31617824,Janka Krala 2667,Velky Krtis,Velky Krtis,"trzby 5,99 mil EUR (2024), ~30 zam; penzion + restauracia + vinarstvo, firemne eventy/seminare/svadby",0911 033 248,recepcia@penzionuvinara.sk,penzionuvinara.sk,B6,"SILNY CIEL; najvacsi vinar stredoslovenskej oblasti (230 ha), eventovy priestor + vino + ubytovanie pre firemne akcie","Ing. Bohumír Kóňa, Ing. Marek Špirko, Ing. Jozef Špirko"
Velka restauracia / banketova sala,"HOTEL PARTIZAN PS, s.r.o. (Wellness Hotel Partizan Tale)",47250208,Bystra 108,Bystra,Brezno,86 dvojluzkovych izieb + 11 apartmanov; kongres do 450 osob (1000 m2); 5 restauracii/barov,,,partizan.sk,B5,"SILNY CIEL; najvacsia kongresovo-eventova kapacita regionu Tale, viacero vlastnych kuchyn/restauracii; rodina Kico","Michal Kič, Miloslava Kičová, Martin Kič"
Velka restauracia / banketova sala,"Tale a.s. (Ski, Golf & Hotel Resort Tale)",36028631,Tale 100,Horna Lehota,Brezno,Hotel Stupka + Golf; restauracia 80 + Koliba 80-100 + Stodola do 150; svadby/eventy,048 6712 601,infotale@tale.sk,tale.sk,B5,"SILNY CIEL; horsky rezort s viacerymi gastro prevadzkami, banketova kapacita do 150 (Stodola), svadby/firemne","Marian Kurčík, Jozef Soták, Vladimír Soták"
Velka restauracia / banketova sala,Restauracia OMEGA (Nana s.r.o.),doplnit ORSR,Svermova 7,Brezno,Brezno,"restauracia v Dome kultury Brezno; svadby/plesy/firemne + catering, donaska",048/611 55 61,,restauraciaomega.sk,B5,banketova/eventova restauracia v Dome kultury Brezno + catering; ICO Nana s.r.o. doplnit ORSR,
Restauracna siet (3+ prevadzok),"COOP Jednota Krupina, spotrebne druzstvo",00169021,Svatotrojicne namestie 22,Krupina,Krupina,trzby 161 mil EUR (2024); siet predajni + pohostinska/restauracna cinnost v 12 okresoch BB kraja,045/511 51 22,info@ka.coop.sk,coopka.sk,B4,"SILNY CIEL; najvacsie regionalne druzstvo v kraji (160 predajni), pohostinska cinnost, velkoodberatel surovin pre vlastne gastro prevadzky","Jozef Vahančík, Ján Ungvarský, Jana Šebianová, Dominika Vahančíková, Anna Horváthová"
Restauracna siet (3+ prevadzok),"COOP Jednota Brezno, spotrebne druzstvo",36009342,Nam. gen. M. R. Stefanika 44/52,Brezno,Brezno,"trzby 33,65 mil EUR (2025); 250-499 zam; pohostinska cinnost + siet predajni v okrese Brezno",,,,B5,"SILNY CIEL; regionalne spotrebne druzstvo s pohostinskou cinnostou, stabilny velkoodberatel potravin v Horehronskom regione","Eva Kolajová, Jozef Ďurica, Ján Králik, Ján Kováčik, Eva Matovičová"
Restauracna siet (3+ prevadzok),McDonald's fransiza Zvolen + Banska Bystrica,doplnit ORSR,Obchodna 9,Zvolen,Zvolen,"2 prevadzky McDonald's (Zvolen + Banska Bystrica), planovana 3.",,,mcdonalds.sk,B2,fransizove prevadzky McDonald's (Zvolen Obchodna 9 + SC Europa BB); franchisant zrejme V. Tomko; prevadzkova firma + ICO over ORSR,
Statne firmy a urady,Banskobystricky samospravny kraj (Urad BBSK),37828100,Namestie SNP 23,Banska Bystrica,Banska Bystrica,"250-499 zam, rozpocet ~200 mil EUR (2025); zriadovatel desiatok skol/soc. zariadeni s vlastnymi kuchynami",048/4325111,podatelna@bbsk.sk,bbsk.sk,B1,"SILNY CIEL; krajsky urad + zriadovatel ~50 strednych skol a socialnych zariadeni v kraji (skolske/zariadenske kuchyne, verejne obstaravanie stravy a potravin)",
Statne firmy a urady,"LESY Slovenskej republiky, s.p. - generalne riaditelstvo",36038351,Namestie SNP 8,Banska Bystrica,Banska Bystrica,"velky statny podnik, tisice zam celostatne; GR sidli v BB",048/4344111,lesysr@lesy.sk,lesy.sk,B1,"SILNY CIEL; sidlo statneho podniku v BB, odber stravovacich sluzieb pre GR; over model jedalne (vlastna vs externa)",Boris Gregor
Statne firmy a urady,81. kridlo Sliac (letecka zakladna OS SR),doplnit ORSR,Letisko Sliac,Sliac,Zvolen,"letecka zakladna OS SR, stovky vojakov + personal, vojenska jedalen",,,81k.mil.sk,B2,"SILNY CIEL; vojenska zakladna s velkou jedalnou (kazdodenne stravovanie posadky); utvar OS SR pod MO SR (ICO 30845572), samostatne doplnit",
Statne firmy a urady,Velitelstvo vzdusnych sil OS SR Zvolen,doplnit ORSR,Jana Jiskru 10,Zvolen,Zvolen,"velitelstvo VzS OS SR, vojaci + civilni zam, vojenska jedalen",0960/464111,,vvzs.mil.sk,B2,"SILNY CIEL; velitelstvo + posadka Zvolen s vojenskou jedalnou; utvar OS SR pod MO SR (ICO 30845572), samostatne doplnit",
Statne firmy a urady,Mesto Banska Bystrica (Mestsky urad),00313271,Ceskoslovenskej armady 26,Banska Bystrica,Banska Bystrica,"1000-1999 zam (mesto + organizacie), najvacsia samosprava kraja",048/4330111,msu@banskabystrica.sk,banskabystrica.sk,B1,"SILNY CIEL; najvacsia samosprava kraja, zriadovatel MS/ZS so skolskymi jedalnami (odber potravin)",
Statne firmy a urady,Mesto Zvolen (Mestsky urad),00320439,Namestie slobody 22,Zvolen,Zvolen,"250-499 zam, druha najvacsia samosprava kraja",045/5303111,mesto@zvolen.sk,zvolen.sk,B2,SILNY CIEL; zriadovatel MS/ZS so skolskymi jedalnami v meste Zvolen (odber potravin/stravy),
Statne firmy a urady,Krajske riaditelstvo Policajneho zboru v Banskej Bystrici,doplnit ORSR,9. maja 1,Banska Bystrica,Banska Bystrica,"krajske riaditelstvo PZ, stovky prislusnikov v kraji",0961/601111,,minv.sk,B1,krajske riaditelstvo PZ; spada pod MV SR; over ci ma vlastnu jedalen alebo obstarava stravu externe,
Statne firmy a urady,Slovenska posta a.s. - generalne riaditelstvo,36631124,Partizanska cesta 9,Banska Bystrica,Banska Bystrica,"1000-1999 zam (GR + prevadzky), velky statny zamestnavatel so sidlom v BB",048/4330200,,posta.sk,B1,"SILNY CIEL; generalne riaditelstvo statnej a.s. so sidlom v BB, zamestnanecke stravovanie pre stovky zam GR; odber stravovacich sluzieb / zavodna jedalen","Vladislav Kupka, Melinda Burdanová, Juliana Márquez, Michaela Rajtarová, Filip Kamenský"
Statne firmy a urady,Univerzita Mateja Bela v Banskej Bystrici (UMB),30232295,Narodna 12,Banska Bystrica,Banska Bystrica,500-999 zam + tisice studentov; vlastne studentske jedalne (SJ1 Tajovskeho 40) a studentske domovy,048/4467619,umb@umb.sk,umb.sk,B1,SILNY CIEL; verejna univerzita s vlastnymi studentskymi jedalnami a SD (tisice stravnikov denne); velke verejne obstaravanie potravin a stravy,
Statne firmy a urady,Fakultna nemocnica s poliklinikou F. D. Roosevelta Banska Bystrica,00165549,Namestie L. Svobodu 1,Banska Bystrica,Banska Bystrica,"2000+ zam, najvacsia nemocnica kraja; velka nemocnicna kuchyna (pacienti + personal)",048/4411111,sekretariatgr@nspbb.sk,fnspfdr.sk,B1,"SILNY CIEL; najvacsia nemocnicna kuchyna v kraji, kazdodenne stravovanie pacientov a personalu; obrovsky odber potravin, verejne obstaravanie stravy",
Statne firmy a urady,Technicka univerzita vo Zvolene,00397440,T. G. Masaryka 24,Zvolen,Zvolen,250-499 zam + studenti; vlastna studentska jedalen a studentske domovy vo Zvolene,045/5206111,info@tuzvo.sk,tuzvo.sk,B2,SILNY CIEL; verejna univerzita s vlastnou studentskou jedalnou a SD vo Zvolene; verejne obstaravanie potravin/stravy,
Statne firmy a urady,"Ustav na vykon trestu odnatia slobody Banska Bystrica (ZVJS, Kralova)",00738328,Sladkovicova 2238/80,Banska Bystrica,Banska Bystrica,kapacita ~750 odsudenych + personal; vazenska kuchyna s celodennou prevadzkou,048/4161111,,zvjs.sk,B1,"SILNY CIEL; vazenska kuchyna ZVJS (kazdodenne stravovanie cca 750 odsudenych + zamestnancov); samostatne ICO, velke obstaravanie potravin",
Statne firmy a urady,Mesto Lucenec (Mestsky urad),00316181,Novohradska 1,Lucenec,Lucenec,"250-499 zam (mesto + organizacie), najvacsia samosprava juznej casti kraja",047/4307220,sekretariat@lucenec.sk,lucenec.sk,B4,zriadovatel MS/ZS so skolskymi jedalnami v Lucenci (odber potravin/stravy),
Statne firmy a urady,Mesto Rimavska Sobota (Mestsky urad),00319031,Svatoplukova 9,Rimavska Sobota,Rimavska Sobota,"250-499 zam (mesto + organizacie), okresne mesto Gemera",047/5631139,mesto@rimavskasobota.sk,rimavskasobota.sk,B4,zriadovatel MS/ZS so skolskymi jedalnami v Rimavskej Sobote (odber potravin/stravy),
Statne firmy a urady,Mesto Ziar nad Hronom (Mestsky urad),00321125,Stefana Moysesa 46,Ziar nad Hronom,Ziar nad Hronom,"250-499 zam (mesto + organizacie), priemyselne okresne mesto",045/6787153,msu@ziar.sk,ziar.sk,B3,zriadovatel MS/ZS so skolskymi jedalnami v Ziari nad Hronom (odber potravin/stravy),
Statne firmy a urady,Krajske riaditelstvo Hasicskeho a zachranneho zboru v Banskej Bystrici,37830058,Komenskeho 27,Banska Bystrica,Banska Bystrica,"statny zbor, stovky zamestnancov; pod MV SR",0961 606 511,sekretariat.bc@minv.sk,minv.sk,BB1,SILNY CIEL; HaZZ velky zamestnavatel so zavodnou kuchynou; hist. ICO (od 2013 pod MV SR),
Statne firmy a urady,Zeleznice Slovenskej republiky - OR Zvolen,31364501,M. R. Stefanika 295/4,Zvolen,Zvolen,100+ zam (oblastne riaditelstvo),045/229 4004,,zsr.sk,B2,OZ Zvolen - oblastne riaditelstvo pre BB kraj; vlastna kuchyna/zavodne stravovanie,Miroslav Garaj
Tackaren / zavodna jedalen,Nemocnica AGEL Zvolen a.s.,45594929,Kuzmanyho nabrezie 28,Zvolen,Zvolen,500-999 zam,045/520 1111,info@nemocnicazvolen.sk,nemocnicazvolen.agel.sk,B2,SILNY CIEL; AGEL skupina; lozkova nemocnica BB kraj,"Waldemar Kmiecik, Ľudmila Veselá, Ján Haško, Michal Zakarovský"
